#      incBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3   0.0076141729   2.430687e-05   0.0074281415  2.0581524e-05    0.007906657  5.2593951e-05
           -2.6    0.012369393  3.0798066e-05    0.012068578  2.5978712e-05    0.012869675  7.9291817e-05
           -2.2    0.018919959  3.7775377e-05    0.018442858  3.1958226e-05    0.019669683  8.0103944e-05
           -1.8    0.026153508  4.4036173e-05     0.02550399  4.2321998e-05    0.027316784   0.0001072701
           -1.4    0.032880932   4.897072e-05    0.031979499  4.6539904e-05    0.034425655  0.00010672359
             -1    0.038091409  5.2451717e-05    0.036992317  4.9910727e-05    0.039716085  0.00011071715
           -0.6    0.041566217  5.4609784e-05    0.040378453  5.2062167e-05    0.043279796  0.00011310227
           -0.2    0.042557939  5.5363192e-05    0.041305557  5.2803759e-05    0.044398622  0.00011101128
            0.2    0.041463026   5.476527e-05    0.040265944   5.311232e-05    0.043355302  0.00012097428
            0.6    0.038047032  5.2790648e-05    0.036987968  5.0390048e-05    0.039724593  0.00011111255
              1    0.032869085  4.9441579e-05    0.031977345  4.7147576e-05    0.034281558  0.00010441731
            1.4    0.026192706  4.4628155e-05    0.025520265  4.5716821e-05    0.027186056  0.00010220652
            1.8    0.018921239   3.837245e-05    0.018457292  3.4664142e-05    0.019609648   8.614351e-05
            2.2    0.012354506  3.1394234e-05    0.012067992  2.6955267e-05    0.012842314  8.3408203e-05
            2.6   0.0076443963  2.4812421e-05   0.0074406796   2.073428e-05   0.0080028347  6.3547835e-05
              3   0.0076443963  2.4812421e-05   0.0074406796   2.073428e-05   0.0080028347  6.3547835e-05
