#      fidBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6  0.00018719047  2.9252698e-06    0.000169469  2.5480165e-06   0.0002070221  3.5541322e-06
           -2.2   0.0010762821  6.9423346e-06  0.00097847581  6.1181532e-06   0.0011832009  8.4518397e-06
           -1.8   0.0022823665    1.00174e-05   0.0020767152  8.9741724e-06   0.0025060444  1.2513512e-05
           -1.4   0.0033437932  1.2011283e-05   0.0030461062  1.0694121e-05   0.0036636023  1.4641585e-05
             -1   0.0040861532  1.3193066e-05   0.0037211973  1.1716298e-05    0.004476822  1.5944627e-05
           -0.6   0.0045800552  1.3931499e-05   0.0041687293  1.2466098e-05   0.0050208197  1.6967824e-05
           -0.2   0.0047634332  1.4164276e-05   0.0043326835  1.2585957e-05   0.0052269802  1.7037189e-05
            0.2     0.00458503  1.3934984e-05   0.0041742534  1.2383757e-05   0.0050240628  1.6823655e-05
            0.6   0.0040918332  1.3222918e-05   0.0037253899  1.1809958e-05   0.0044845916  1.6227704e-05
              1   0.0033393196  1.2035892e-05   0.0030340843  1.0579113e-05   0.0036725609  1.4500971e-05
            1.4   0.0022991457  1.0075338e-05    0.002093553  8.9438577e-06   0.0025211164  1.2503294e-05
            1.8   0.0010855248  7.0148077e-06  0.00098736571  6.1324067e-06   0.0011925202  8.5870629e-06
            2.2  0.00018618342   2.929265e-06  0.00016830762  2.5299622e-06  0.00020637038  3.5845781e-06
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
