#fid-integrated        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.3271031   0.0067794652      5.7579436   0.0060180182      6.9402139   0.0082857672
              1      6.3271031   0.0067794652      5.7579436   0.0060180182      6.9402139   0.0082857672
