#fid-integrated        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      7.8600521    0.007497363      7.1470224   0.0066571222      8.6268973   0.0091701443
              1      7.8600521    0.007497363      7.1470224   0.0066571222      8.6268973   0.0091701443
