#     fidBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   1.332779e-05  2.2789724e-07  1.2522637e-05  2.0056754e-07  1.4392799e-05  2.9035526e-07
              5  4.5829077e-05  4.1613263e-07  4.2540484e-05  3.6933958e-07  5.0067541e-05  5.3774875e-07
             10  8.9164391e-05  5.7380678e-07   8.241658e-05  5.1110104e-07  9.7471139e-05  7.2486724e-07
             15  0.00014765549  7.3528926e-07  0.00013703552  6.5871071e-07  0.00015989686  9.1722058e-07
             20  0.00022722575  9.0827341e-07  0.00021178188   8.190783e-07  0.00024383086  1.1319937e-06
             25  0.00031181726  1.0557978e-06  0.00028932143  9.4501005e-07   0.0003357393  1.2922881e-06
             30  0.00035307858  1.1157471e-06  0.00032553735  1.0057195e-06   0.0003823268  1.3847833e-06
             35  0.00034225098  1.0913302e-06  0.00031324749  9.6687667e-07  0.00037300648  1.3172691e-06
             40  0.00030616227  1.0238906e-06  0.00027820931  9.0606224e-07  0.00033598939  1.2343858e-06
             45  0.00026420978  9.4721643e-07  0.00023894407  8.4044095e-07  0.00029113302  1.1518571e-06
             50  0.00022176698  8.6436451e-07  0.00019942031  7.6042298e-07  0.00024586562  1.0375906e-06
             55  0.00018550744  7.8699029e-07  0.00016648728   6.931994e-07  0.00020590403  9.4785603e-07
             60  0.00015617363  7.2048528e-07  0.00013971208  6.3781956e-07  0.00017394756  8.7522113e-07
             65  0.00013083553  6.5654229e-07  0.00011692623  5.7725684e-07  0.00014580351  7.8656603e-07
             70  0.00010871887  5.9685176e-07   9.687737e-05  5.2264543e-07  0.00012160201  7.0611428e-07
             75  9.2433974e-05   5.499302e-07  8.2601676e-05  4.9512618e-07  0.00010288085  6.8293654e-07
             80  7.7657901e-05  5.0354407e-07  6.9174226e-05  4.4154953e-07  8.6825481e-05  5.9629986e-07
             85  6.5766844e-05  4.6289093e-07  5.8725103e-05  4.0929611e-07  7.3245011e-05  5.5287226e-07
             90  5.5573028e-05  4.2480463e-07  4.9574376e-05  3.7408726e-07  6.1963526e-05  5.0101189e-07
             95  4.7208723e-05   3.913428e-07  4.2076423e-05  3.4467767e-07  5.2701225e-05  4.6572604e-07
            100  4.1037789e-05  3.6348126e-07  3.6565568e-05  3.2093073e-07  4.5825445e-05  4.2893936e-07
            105  3.4515065e-05  3.3458281e-07  3.0845925e-05  2.9500486e-07  3.8368171e-05  3.9530356e-07
            110  2.9974711e-05  3.1053677e-07  2.6790546e-05  2.7623504e-07  3.3308486e-05  3.7339636e-07
            115  2.6299073e-05  2.9081517e-07  2.3442205e-05  2.5632154e-07  2.9339689e-05  3.4138305e-07
            120  2.2355285e-05  2.6797338e-07  1.9950118e-05   2.388683e-07   2.489757e-05  3.2075955e-07
            125  1.9476359e-05  2.5006369e-07  1.7400418e-05  2.2149263e-07  2.1651791e-05  2.9452392e-07
            130  1.6843354e-05  2.3315491e-07  1.5054108e-05  2.0600749e-07  1.8710734e-05  2.7429312e-07
            135  1.4823986e-05  2.1828568e-07  1.3259556e-05  1.9274484e-07  1.6448105e-05  2.5659277e-07
            140  1.3249697e-05  2.0592755e-07  1.1854583e-05  1.8275038e-07  1.4695278e-05  2.4268413e-07
            145  1.1647205e-05  1.9323389e-07  1.0516958e-05  1.8178304e-07  1.2735156e-05  2.5314504e-07
            150  1.0046384e-05  1.7911518e-07  9.0210683e-06  1.6374349e-07  1.1079867e-05  2.2250927e-07
            155  8.8602518e-06  1.6830274e-07  7.9187682e-06    1.49377e-07  9.8428362e-06  1.9693594e-07
            160  7.5995087e-06  1.5651852e-07  6.8046776e-06  1.3854232e-07  8.4181124e-06  1.8271171e-07
            165  6.9104205e-06  1.4826618e-07   6.176312e-06  1.3092659e-07  7.6752504e-06  1.7358484e-07
            170  6.1209899e-06  1.3944633e-07  5.4719022e-06  1.2346251e-07  6.7994602e-06  1.6219998e-07
            175  5.4999853e-06  1.3228308e-07  4.9280791e-06  1.1844603e-07  6.0869482e-06   1.540364e-07
            180  4.9542872e-06  1.2557885e-07  4.4235132e-06  1.1104695e-07  5.5128224e-06  1.4543442e-07
            185    4.41342e-06  1.1830076e-07  3.9269224e-06  1.0434683e-07  4.9353211e-06  1.3711177e-07
            190  3.7543816e-06  1.0994843e-07   3.385959e-06  9.7860332e-08  4.1127683e-06  1.3215112e-07
            195  3.4865129e-06  1.0515075e-07  3.1165715e-06   9.331402e-08  3.8726455e-06  1.2235863e-07
            200  3.4865129e-06  1.0515075e-07  3.1165715e-06   9.331402e-08  3.8726455e-06  1.2235863e-07
