# incBR-integra        central        num_err    min (scale)        num_err    max (scale)        num_err
# ted
              0     0.15480021  5.4999211e-05     0.15070088  5.1749949e-05     0.16139906  0.00014718103
              1     0.15480021  5.4999211e-05     0.15070088  5.1749949e-05     0.16139906  0.00014718103
