#       fid-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.005871273  0.00010039526   0.0055165801  8.8355743e-05   0.0063404402  0.00012790981
              5    0.020189021  0.00018331834    0.018740301  0.00016270466    0.022056185  0.00023689372
             10    0.039279468  0.00025277832    0.036306863  0.00022515464    0.042938828  0.00031932478
             15    0.065046473  0.00032391597    0.060368072  0.00029018093    0.070439146  0.00040406193
             20     0.10009945  0.00040012044    0.093295985  0.00036082745     0.10741447  0.00049867565
             25     0.13736444  0.00046510915     0.12745438  0.00041630399     0.14790278  0.00056928993
             30     0.15554123  0.00049151856     0.14340852  0.00044304825      0.1684259  0.00061003672
             35     0.15077136  0.00048076221     0.13799449  0.00042593686     0.16432004  0.00058029476
             40     0.13487325  0.00045105313     0.12255917  0.00039914636     0.14801295  0.00054378227
             45     0.11639197  0.00041727596     0.10526171   0.0003702383     0.12825243  0.00050742605
             50    0.097694704  0.00038077732    0.087850357   0.0003349881     0.10831084  0.00045708836
             55    0.081721341  0.00034669176    0.073342415  0.00030537419    0.090706619  0.00041755772
             60    0.068798956   0.0003173944    0.061547174  0.00028097778    0.076628882  0.00038555997
             65    0.057636796  0.00028922568    0.051509351  0.00025429817    0.064230619  0.00034650486
             70    0.047893775  0.00026293029    0.042677256  0.00023024028    0.053569169  0.00031106356
             75    0.040719813     0.00024226    0.036388403  0.00021811726     0.04532196   0.0003008531
             80     0.03421053  0.00022182558    0.030473227  0.00019451521     0.03824911  0.00026268716
             85    0.028972179  0.00020391671    0.025870089  0.00018030666    0.032266525  0.00024355606
             90    0.024481511   0.0001871386    0.021838932  0.00016479615    0.027296707  0.00022071009
             95    0.020796794  0.00017239771    0.018535869  0.00015184038    0.023216399  0.00020516566
            100    0.018078321   0.0001601239     0.01610818  0.00014137918    0.020187421  0.00018896007
            105    0.015204874  0.00014739331    0.013588513  0.00012995809    0.016902278  0.00017414254
            110    0.013204719  0.00013680034    0.011802002  0.00012168944    0.014673342  0.00016449179
            115    0.011585495  0.00012811241    0.010326963  0.00011291698    0.012924973  0.00015038901
            120    0.009848143  0.00011804995    0.008788598  0.00010522833    0.010968092  0.00014130376
            125    0.008579894  0.00011016021   0.0076653823  9.7573848e-05   0.0095382338  0.00012974622
            130   0.0074199798  0.00010271141   0.0066317658  9.0752198e-05   0.0082426141  0.00012083397
            135   0.0065303901  9.6161092e-05   0.0058412142  8.4909622e-05   0.0072458612  0.00011303646
            140   0.0058368708  9.0716984e-05   0.0052222832  8.0506777e-05   0.0064736907  0.00010690931
            145   0.0051309271   8.512506e-05   0.0046330212  8.0080635e-05   0.0056102009  0.00011151764
            150   0.0044257197  7.8905364e-05   0.0039740389  7.2133698e-05   0.0048809986  9.8021703e-05
            155   0.0039031946  7.4142177e-05   0.0034884441  6.5804848e-05   0.0043360512  8.6755919e-05
            160   0.0033478012  6.8950891e-05   0.0029976553  6.1031858e-05   0.0037084196  8.0489741e-05
            165   0.0030442381  6.5315499e-05   0.0027208423  5.7676913e-05   0.0033811676  7.6469092e-05
            170   0.0026964713    6.14301e-05   0.0024105296  5.4388769e-05   0.0029953569  7.1453736e-05
            175    0.002422901  5.8274485e-05   0.0021709599  5.2178869e-05    0.002681475  6.7857445e-05
            180   0.0021825054   5.532108e-05   0.0019486842  4.8919362e-05   0.0024285561  6.4068028e-05
            185   0.0019442379  5.2114872e-05   0.0017299218  4.5967767e-05   0.0021741503  6.0401662e-05
            190   0.0016539126  4.8435431e-05   0.0014916119  4.3110278e-05   0.0018117922  5.8216354e-05
            195   0.0015359088  4.6321917e-05    0.001372939  4.1107498e-05   0.0017060112  5.3902479e-05
            200   0.0015359088  4.6321917e-05    0.001372939  4.1107498e-05   0.0017060112  5.3902479e-05
