#       fid-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15              0              0              0              0              0              0
             20              0              0              0              0              0              0
             25     0.33039978   0.0016065365     0.30904501   0.0014324803      0.3525849   0.0019901071
             30      0.2390658   0.0013455151     0.22139141   0.0011985152     0.25752352   0.0016580831
             35     0.18276592   0.0011588034     0.16682462   0.0010273827     0.20014817   0.0014116331
             40     0.13806766   0.0010038443     0.12498564  0.00087987381     0.15237475   0.0012117747
             45     0.10389965  0.00086505021    0.093567972  0.00075998028     0.11512716    0.001042155
             50    0.080988319  0.00076006625    0.072648682  0.00066690122    0.090079802  0.00091185428
             55     0.06462246  0.00067433056      0.0578058  0.00059155924    0.072402792  0.00088919653
             60    0.050951446  0.00059952225     0.04563131  0.00052536956    0.056644153  0.00071540725
             65    0.041559044  0.00053994879    0.037135828  0.00047415868    0.046320702  0.00064889041
             70    0.033687682  0.00048608956    0.030125012  0.00043471077     0.03749671  0.00059562229
             75     0.02750125  0.00043539114    0.024414429  0.00037945027    0.030921746  0.00051591184
             80    0.022889575  0.00039623928    0.020364891   0.0003478974    0.025648746  0.00047458256
             85    0.019288158  0.00036358822    0.017119201  0.00031769928    0.021675144  0.00042885276
             90    0.015628655  0.00032688595    0.013980125  0.00029300208    0.017357566  0.00040459026
             95     0.01365495  0.00030577732     0.01227785  0.00028464666    0.015041035    0.000415967
            100    0.011438321  0.00027832371    0.010218563  0.00024702649    0.012720409   0.0003390472
            105   0.0096148248  0.00025604374   0.0085643735  0.00022525462    0.010737837    0.000298738
            110   0.0077710029  0.00023049226   0.0069234032  0.00020141175   0.0086603278  0.00027629849
            115   0.0073438116  0.00022385342   0.0065160481  0.00019617369   0.0082473132  0.00026065785
            120   0.0059358866  0.00019972065    0.005258988   0.0001754971    0.006684288  0.00023144604
            125   0.0051804739  0.00018609796    0.004591749  0.00016410729   0.0058288797  0.00021438382
            130   0.0047731941  0.00017912477   0.0042430804  0.00015802234   0.0053448892  0.00020610724
            135   0.0040258423  0.00016527117   0.0035837058  0.00014555443   0.0044987669  0.00019494491
            140   0.0033188681  0.00015326252   0.0029955642  0.00013441278   0.0036360556  0.00018043446
            145   0.0029415499  0.00014180381   0.0026615887  0.00012855001    0.003207734  0.00016873772
            150   0.0026999849  0.00013643781   0.0024264396  0.00012093503   0.0029738179  0.00015820146
            155   0.0022912117  0.00012365309   0.0020318721  0.00010934472   0.0025765182  0.00014410496
            160   0.0020831864  0.00011841519   0.0018557855  0.00010427414   0.0023250127  0.00013690426
            165   0.0019014345  0.00011332559   0.0016817972  9.8813197e-05   0.0021446282  0.00013312374
            170   0.0016680433  0.00010604649   0.0014830609   9.321829e-05   0.0018674434  0.00012488299
            175    0.001467001  9.8862699e-05   0.0013094038  8.7975801e-05   0.0016323297  0.00011238938
            180   0.0013368448  9.7119351e-05   0.0012044002  8.4329222e-05   0.0014685338  0.00011669054
            185   0.0011884238  9.0210639e-05   0.0010646064  7.9761026e-05   0.0013151887  0.00010344705
            190   0.0010647401  8.4643283e-05  0.00095217484  7.5182399e-05   0.0011808786  9.6148946e-05
            195    0.001025347  8.3100905e-05   0.0009216346  7.4388913e-05   0.0011316473   9.423305e-05
            200    0.001025347  8.3100905e-05   0.0009216346  7.4388913e-05   0.0011316473   9.423305e-05
