#   fidaaBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0029232111  1.2378878e-05   0.0025480312  4.5836533e-05   0.0031328809  4.2685096e-05
              5   0.0042283628  1.1471148e-05   0.0040805055  1.3607003e-05    0.004345321   1.537148e-05
             10   0.0034462497  8.8952831e-06   0.0033584237  8.0935415e-06   0.0035502131  1.0686457e-05
             15   0.0025609453   7.175222e-06   0.0024715955  6.3866705e-06   0.0026425874  8.4080739e-06
             20   0.0018894963  5.9158029e-06   0.0017994245  5.3697202e-06    0.001975213  7.7874475e-06
             25    0.001387779  4.9712182e-06   0.0013095305   4.441443e-06   0.0014637705   6.235098e-06
             30   0.0010289661  4.2211275e-06  0.00096013492  3.7889866e-06   0.0010976205  5.2723131e-06
             35   0.0007707083  3.6116537e-06  0.00071052082  3.2062272e-06  0.00083337453  4.4935321e-06
             40   0.0005788745  3.1095554e-06  0.00052994366  2.8665674e-06   0.0006289687  4.0721119e-06
             45  0.00044668399  2.7131601e-06  0.00040558175  2.3907312e-06  0.00048957864  3.2901968e-06
             50  0.00034128812  2.3686537e-06  0.00030905439  2.0855489e-06   0.0003744769  2.8655669e-06
             55  0.00027045709  2.0901221e-06  0.00024375866  1.8493707e-06  0.00029828238  2.5330548e-06
             60  0.00021374969  1.8519862e-06   0.0001918768  1.6257678e-06   0.0002368006  2.2172182e-06
             65  0.00016982837  1.6507018e-06  0.00015293259  1.4555921e-06  0.00018712554  1.9854796e-06
             70  0.00013832982  1.4822678e-06  0.00012376537  1.3030342e-06  0.00015377951  1.7881311e-06
             75  0.00011356954  1.3434467e-06  0.00010189871  1.1867774e-06  0.00012567437  1.6270668e-06
             80  9.2357974e-05  1.2113995e-06  8.2917991e-05  1.0803692e-06  0.00010202948  1.5088612e-06
             85  7.4872747e-05  1.0864877e-06  6.6925656e-05  9.5299565e-07  8.3251202e-05  1.2854093e-06
             90  6.0140619e-05  9.7502634e-07  5.3790253e-05  8.5381148e-07  6.6783061e-05  1.1519697e-06
             95  5.0232538e-05  8.9141406e-07  4.5044731e-05  7.8392414e-07  5.5556314e-05  1.0451368e-06
            100  4.4304583e-05  8.3441996e-07  3.9707268e-05  7.3687336e-07  4.9030901e-05  1.0019522e-06
            105  3.6917434e-05  7.5669937e-07  3.3064238e-05  6.7500644e-07  4.0892091e-05  9.0744379e-07
            110  3.2119042e-05  7.0451747e-07  2.8581176e-05  6.1934466e-07  3.5920906e-05  8.2902853e-07
            115  2.6404874e-05  6.4364579e-07   2.366631e-05   5.682192e-07  2.9219443e-05  7.5846011e-07
            120  2.2565684e-05  5.8962025e-07  2.0105438e-05  5.1813039e-07  2.5186706e-05  6.8896151e-07
            125  1.9212232e-05  5.4624387e-07  1.7167505e-05  4.8421102e-07  2.1353545e-05  6.4457164e-07
            130  1.8380747e-05  5.3033312e-07  1.6367848e-05  4.6873782e-07  2.0535993e-05  6.1345655e-07
            135  1.4693013e-05  4.7859219e-07  1.3263575e-05  4.2560545e-07  1.6077011e-05  5.6096927e-07
            140  1.2969024e-05  4.5010802e-07  1.1536478e-05  3.9451969e-07  1.4510706e-05  5.2720574e-07
            145   1.055771e-05  4.0214799e-07   9.396979e-06  3.5486972e-07  1.1810385e-05  4.6611226e-07
            150  1.0272444e-05  3.9896189e-07  9.1673899e-06  3.5059565e-07  1.1437995e-05  4.6366266e-07
            155  8.3412127e-06  3.6093839e-07  7.4612949e-06  3.1846386e-07  9.2614579e-06  4.1833082e-07
            160  8.0008221e-06  3.4708136e-07  7.1133004e-06  3.0726756e-07  8.9587861e-06  3.9998375e-07
            165  7.2190827e-06  3.3148315e-07  6.4661566e-06  2.9497515e-07  7.9958136e-06   3.802681e-07
            170  6.0250815e-06  3.0650763e-07  5.4474015e-06  2.7110234e-07  6.5751435e-06  3.5934007e-07
            175  5.4366986e-06  2.8981521e-07  4.8884146e-06  2.5564889e-07  5.9821508e-06  3.3963544e-07
            180  5.0970127e-06  2.8179862e-07  4.5561442e-06  2.4842172e-07  5.6616865e-06  3.2462113e-07
            185  4.1542126e-06  2.5934985e-07  3.8441029e-06  2.3073009e-07  4.3700006e-06   3.149378e-07
            190  3.5355001e-06  2.3568196e-07  3.2441193e-06  2.1343742e-07  3.7704162e-06  2.7097749e-07
            195  3.8159153e-06  2.4251868e-07  3.3780927e-06   2.126925e-07  4.2998113e-06  2.8186517e-07
            200  3.8159153e-06  2.4251868e-07  3.3780927e-06   2.126925e-07  4.2998113e-06  2.8186517e-07
