#       inc-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.1242369   0.0033066343      1.8118708    0.003602514      2.2733576    0.012204763
              5      2.9252187   0.0029578117      2.6265017   0.0033320679      2.9935737   0.0036280479
             10      2.3242368   0.0022824386      2.1475403   0.0019657246      2.3897169   0.0028547466
             15      1.7251636   0.0018423431      1.6049095   0.0016307431      1.7821068   0.0022115063
             20      1.2770937   0.0015303936      1.2016785   0.0013808392      1.3342411    0.002011509
             25     0.94952224   0.0012927141     0.89459346   0.0011547223      1.0038813   0.0016308426
             30     0.71076841   0.0011024385     0.66190163  0.00098366353     0.76060544   0.0013684144
             35     0.53574965  0.00094840364      0.4937442  0.00084240488     0.58163737   0.0012203243
             40     0.40992683  0.00082383884     0.37451601  0.00074044212     0.45573208   0.0010822736
             45     0.31549284  0.00071868927       0.286422  0.00063730192     0.35762832   0.0009292891
             50     0.24688582   0.0006336108     0.22299442  0.00055691886     0.28427546  0.00080759372
             55     0.19403942  0.00055919113     0.17481509  0.00049329662     0.22521851  0.00071742569
             60     0.15519476  0.00049854278     0.13934635  0.00043910229     0.18138816  0.00063291775
             65     0.12499897  0.00044696273     0.11222503  0.00039766167     0.14592688   0.0005732288
             70     0.10157949  0.00040169201    0.091013169  0.00035349204     0.11858494  0.00050722834
             75    0.082725699  0.00036210437    0.074011336  0.00031828024    0.096374194  0.00045306208
             80    0.067827746  0.00032749844    0.060721883  0.00028814704    0.078582512  0.00040808233
             85    0.056126085  0.00029720215    0.050212781  0.00026564663     0.06477851  0.00037623133
             90    0.046987072  0.00027120705    0.042008553  0.00023872472     0.05405027  0.00033294903
             95    0.039368441  0.00024788998    0.035280657  0.00022467032    0.044892951   0.0003364056
            100    0.033098842  0.00022742633    0.029597794  0.00020038932    0.037788482  0.00027687007
            105    0.028184352  0.00020913208    0.025170854  0.00018411652    0.032137726  0.00025260452
            110    0.024015598  0.00019328433    0.021483639  0.00017028257    0.027248411  0.00023355779
            115    0.020365383  0.00017779892    0.018237989  0.00015748879    0.023003587  0.00021589731
            120    0.017164401  0.00016300901    0.015347394  0.00014363844     0.01940475  0.00019571835
            125    0.014869234  0.00015178161    0.013328466  0.00013469866    0.016714504  0.00018248767
            130    0.012759796  0.00014045098    0.011415131  0.00012442118    0.014364931  0.00016816397
            135    0.011560921  0.00013332694    0.010345033  0.00011817956    0.012999488  0.00015836072
            140   0.0095679645  0.00012201789   0.0085644209  0.00010751387    0.010737912  0.00014547214
            145   0.0083434561   0.0001134351   0.0074817025  0.00010043548   0.0093299347  0.00013513104
            150   0.0072854382  0.00010606605   0.0065451301  9.5854101e-05   0.0081098978  0.00013250641
            155   0.0061990002  9.7499346e-05   0.0055560688  8.6523582e-05   0.0069253531  0.00011471698
            160   0.0056215541  9.2877951e-05   0.0050148152  8.1912835e-05   0.0063237671  0.00010919995
            165   0.0047056531  8.5439736e-05   0.0042199061  7.5298256e-05   0.0052435156  0.00010172042
            170   0.0044268659   8.251173e-05    0.003952098  7.2517626e-05   0.0049671375  9.7467539e-05
            175   0.0037400045  7.6045253e-05   0.0033611777  6.7414974e-05   0.0041524873  8.9740355e-05
            180   0.0033220298  7.1560092e-05    0.002977289  6.3446842e-05   0.0037060808  8.3725004e-05
            185   0.0029305774  6.7194783e-05   0.0026354199   5.940148e-05   0.0032495851  7.9278043e-05
            190    0.002680964  6.4062266e-05   0.0024173773  5.7302148e-05   0.0029612408  7.5600183e-05
            195   0.0024731316  6.1503904e-05    0.002208979  5.4228087e-05   0.0027680979  7.2551504e-05
            200   0.0024731316  6.1503904e-05    0.002208979  5.4228087e-05   0.0027680979  7.2551504e-05
