#     incBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0048220177  7.5060598e-06   0.0041129467  8.1777067e-06   0.0051605218  2.7704812e-05
              5   0.0066402463  6.7142327e-06   0.0059621588  7.5637941e-06   0.0067954124  8.2356688e-06
             10   0.0052760176  5.1811356e-06   0.0048749165  4.4621948e-06   0.0054246574  6.4802748e-06
             15   0.0039161213  4.1821187e-06   0.0036431447  3.7017869e-06   0.0040453825  5.0201194e-06
             20   0.0028990026  3.4739935e-06   0.0027278101  3.1345049e-06   0.0030287274  4.5661254e-06
             25   0.0021554155  2.9344609e-06   0.0020307271  2.6212197e-06   0.0022788105  3.7020128e-06
             30   0.0016134443  2.5025354e-06   0.0015025167  2.2329162e-06   0.0017265743  3.1063007e-06
             35   0.0012161517  2.1528763e-06   0.0011207993  1.9122591e-06   0.0013203168  2.7701363e-06
             40  0.00093053389  1.8701142e-06  0.00085015134  1.6808036e-06   0.0010345118  2.4567611e-06
             45  0.00071616875  1.6314246e-06  0.00065017794  1.4466754e-06  0.00081181629  2.1094863e-06
             50  0.00056043081  1.4382965e-06  0.00050619734  1.2642058e-06   0.0006453053  1.8332378e-06
             55  0.00044046949  1.2693639e-06  0.00039683026  1.1197833e-06  0.00051124602  1.6285563e-06
             60  0.00035229211  1.1316921e-06  0.00031631621   9.967622e-07  0.00041175112  1.4367233e-06
             65  0.00028374766  1.0146054e-06  0.00025475081  9.0269199e-07  0.00033125403  1.3012294e-06
             70  0.00023058545  9.1184087e-07  0.00020659989  8.0242692e-07  0.00026918782  1.1514083e-06
             75  0.00018778734  8.2197692e-07  0.00016800573  7.2249615e-07  0.00021876942  1.0284509e-06
             80  0.00015396898  7.4342147e-07  0.00013783867  6.5409378e-07   0.0001783823  9.2634688e-07
             85  0.00012740621  6.7464888e-07  0.00011398301  6.0301786e-07  0.00014704722  8.5404513e-07
             90  0.00010666065     6.1564e-07  9.5359416e-05   5.419051e-07  0.00012269411  7.5579429e-07
             95  8.9366361e-05  5.6271025e-07   8.008709e-05  5.1000163e-07    0.000101907   7.636407e-07
            100   7.513437e-05  5.1625776e-07  6.7186991e-05  4.5488376e-07  8.5779855e-05  6.2849505e-07
            105  6.3978478e-05  4.7472981e-07  5.7137838e-05  4.1794451e-07  7.2952637e-05  5.7341227e-07
            110  5.4515407e-05  4.3875544e-07   4.876786e-05  3.8654142e-07  6.1853892e-05  5.3017618e-07
            115  4.6229418e-05  4.0360355e-07  4.1400235e-05  3.5749955e-07  5.2218142e-05   4.900869e-07
            120   3.896319e-05  3.7003045e-07  3.4838584e-05  3.2605926e-07  4.4048781e-05  4.4428065e-07
            125  3.3753161e-05  3.4454425e-07  3.0255619e-05  3.0576596e-07  3.7941924e-05  4.1424701e-07
            130  2.8964736e-05  3.1882372e-07  2.5912348e-05  2.8243607e-07  3.2608393e-05  3.8173221e-07
            135  2.6243291e-05  3.0265216e-07  2.3483225e-05   2.682676e-07  2.9508838e-05  3.5947883e-07
            140  2.1719279e-05  2.7698062e-07  1.9441235e-05  2.4405648e-07   2.437506e-05  3.3022176e-07
            145  1.8939646e-05  2.5749767e-07  1.6983465e-05  2.2798854e-07  2.1178952e-05  3.0674746e-07
            150  1.6537945e-05  2.4076993e-07  1.4857445e-05  2.1758881e-07  1.8409468e-05  3.0078954e-07
            155   1.407173e-05  2.2132352e-07  1.2612276e-05  1.9640853e-07  1.5720551e-05  2.6040755e-07
            160  1.2760928e-05  2.1083295e-07   1.138363e-05  1.8594214e-07  1.4354951e-05  2.4788389e-07
            165  1.0681833e-05   1.939482e-07  9.5791867e-06  1.7092704e-07   1.190278e-05  2.3090536e-07
            170  1.0048986e-05  1.8730163e-07  8.9712624e-06  1.6461501e-07  1.1275402e-05  2.2125131e-07
            175  8.4898102e-06  1.7262273e-07  7.6298733e-06  1.5303199e-07  9.4261462e-06  2.0371061e-07
            180  7.5410076e-06  1.6244141e-07   6.758446e-06  1.4402433e-07  8.4128034e-06  1.9005576e-07
            185  6.6524107e-06  1.5253216e-07  5.9824031e-06  1.3484136e-07  7.3765582e-06  1.7996116e-07
            190  6.0857884e-06  1.4542134e-07  5.4874465e-06  1.3007587e-07  6.7220165e-06  1.7161242e-07
            195  5.6140088e-06  1.3961386e-07  5.0143823e-06  1.2309776e-07  6.2835821e-06  1.6469191e-07
            200  5.6140088e-06  1.3961386e-07  5.0143823e-06  1.2309776e-07  6.2835821e-06  1.6469191e-07
