#     fidBR-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15              0              0              0              0              0              0
             20              0              0              0              0              0              0
             25  0.00068924074  1.6428119e-06  0.00064224387  1.4651889e-06   0.0007391645  2.0233223e-06
             30  0.00050931119  1.3951224e-06   0.0004691846  1.2445897e-06  0.00055224942  1.7097043e-06
             35  0.00038431307  1.1990378e-06  0.00035046881  1.0686884e-06  0.00042680856  1.5495178e-06
             40  0.00028976099  1.0353108e-06  0.00026211442  9.1365641e-07  0.00032938654  1.3188311e-06
             45  0.00022552917  9.0798308e-07  0.00020282932  7.9969924e-07  0.00026114134  1.1606224e-06
             50  0.00017400875  7.9265571e-07   0.0001559226  7.0781862e-07  0.00020388691  1.0586038e-06
             55   0.0001376974   7.041942e-07  0.00012315178  6.2257916e-07  0.00016221255  9.0255637e-07
             60  0.00011126989  6.3010243e-07  9.9137874e-05  5.5166861e-07   0.0001317488  7.9192984e-07
             65  8.9700329e-05  5.6623574e-07     8.0046e-05  5.0221249e-07  0.00010581429  7.2138223e-07
             70   7.319642e-05  5.1045853e-07  6.5176326e-05  4.4608278e-07  8.6218357e-05  6.3630826e-07
             75  6.0349029e-05   4.618515e-07  5.3888487e-05  4.0681388e-07  7.0526688e-05   5.736928e-07
             80  5.0323045e-05  4.2129924e-07  4.4878562e-05  3.7022249e-07  5.8665545e-05  5.1792327e-07
             85   4.094794e-05   3.786537e-07  3.6516137e-05  3.5362648e-07  4.7494659e-05  5.0950675e-07
             90  3.4919256e-05  3.4948309e-07  3.1079472e-05  3.0700008e-07  4.0450715e-05  4.2668854e-07
             95  2.9035948e-05  3.1878265e-07   2.589668e-05  2.8132009e-07  3.3438323e-05  3.8841084e-07
            100  2.4778832e-05  2.9345597e-07  2.2110077e-05  2.6223415e-07  2.8406618e-05  3.6530096e-07
            105  2.1016631e-05  2.7015585e-07  1.8632303e-05  2.3643709e-07  2.4256296e-05  3.2469417e-07
            110  1.8065553e-05  2.5042216e-07  1.6025844e-05  2.1962201e-07  2.0763948e-05  2.9894805e-07
            115  1.5434755e-05  2.3107327e-07  1.3744145e-05  2.0452922e-07  1.7609441e-05  2.7731182e-07
            120  1.3328028e-05  2.1591515e-07  1.1903113e-05  1.9123007e-07  1.5115717e-05  2.6098083e-07
            125  1.1703088e-05  2.0223896e-07  1.0437135e-05  1.7914274e-07  1.3300123e-05  2.4396881e-07
            130  9.8824037e-06  1.8539508e-07  8.8074952e-06  1.6348523e-07  1.1203764e-05  2.1812196e-07
            135   8.941155e-06  1.7562839e-07  7.9557804e-06  1.5495345e-07  1.0130137e-05  2.0594544e-07
            140  7.4364098e-06  1.6043048e-07  6.6462635e-06  1.4217747e-07  8.3787903e-06  1.9017441e-07
            145   6.847629e-06  1.5396032e-07  6.1084168e-06  1.3575978e-07   7.735381e-06  1.8220914e-07
            150  5.8723095e-06  1.4206891e-07  5.2149713e-06   1.252265e-07  6.6631321e-06    1.66148e-07
            155  5.2337299e-06  1.3430307e-07  4.6774048e-06  1.1904832e-07  5.8929319e-06  1.5775875e-07
            160  4.7554744e-06  1.2739447e-07  4.2322457e-06  1.1238753e-07  5.3705326e-06  1.5038688e-07
            165   4.232588e-06  1.2096307e-07  3.7859805e-06  1.0670962e-07   4.741872e-06   1.422623e-07
            170  3.5818265e-06  1.1137819e-07  3.2005643e-06  9.8644878e-08  4.0158222e-06   1.305666e-07
            175  3.5460172e-06  1.1025914e-07  3.1738268e-06  9.7708175e-08  3.9638504e-06  1.2923071e-07
            180  2.8785266e-06  1.0025151e-07  2.5912941e-06  8.9151047e-08  3.1939827e-06  1.1697268e-07
            185  2.6560909e-06  9.6498297e-08  2.3869638e-06  8.5360116e-08  2.9535863e-06  1.1348157e-07
            190   2.447284e-06  9.0809057e-08  2.2041557e-06  8.2082397e-08  2.7111708e-06   1.045449e-07
            195  2.0093393e-06  8.2954193e-08  1.7995611e-06   7.414789e-08  2.2392981e-06  9.6385464e-08
            200  2.0093393e-06  8.2954193e-08  1.7995611e-06   7.414789e-08  2.2392981e-06  9.6385464e-08
