#inc-integrated        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      73.295142    0.026167366       69.56063    0.021842353       76.43885    0.066416804
              1      73.295142    0.026167366       69.56063    0.021842353       76.43885    0.066416804
