#       fid-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0055509536  9.9922334e-05   0.0051662971  8.8557985e-05   0.0060857446  0.00012756282
              5     0.01905146  0.00018587132     0.01758795  0.00016351812    0.020991434  0.00023899961
             10     0.03685216  0.00025557424    0.034067217  0.00022632171    0.040299361  0.00032111309
             15    0.060647258  0.00032675457    0.056348244  0.00029022681    0.065567462  0.00040239093
             20    0.092699741  0.00040097264    0.086202522  0.00035876519    0.099828508  0.00049340196
             25     0.12526478   0.0004639435     0.11619503   0.0004122556     0.13502994  0.00056926865
             30     0.14028959  0.00048611717     0.12937167  0.00043214575     0.15184449  0.00058841824
             35     0.13403041   0.0004723399     0.12270654  0.00041780484     0.14770296  0.00056388109
             40     0.11852936  0.00044069515     0.10786371  0.00039314615      0.1328847  0.00057272659
             45     0.10083088  0.00040400859    0.091281327  0.00036007547     0.11501994  0.00052555378
             50    0.084043891  0.00036750313    0.075590586   0.0003234335    0.097558286  0.00046686891
             55    0.069169477  0.00033194329    0.062210105  0.00029542659    0.080584171  0.00043259711
             60    0.057185548  0.00030112404    0.051186319  0.00026443586    0.067221547  0.00037900861
             65    0.047667773  0.00027399449    0.042646686  0.00024475245    0.055971393  0.00035106559
             70    0.039668799  0.00024934187    0.035407938  0.00022052368     0.04661155  0.00031539453
             75     0.03329213  0.00022807204    0.029701075  0.00020017769    0.038964981  0.00028314216
             80    0.027586603  0.00020774229    0.024618354  0.00018326871    0.032142248  0.00025923975
             85     0.02305121  0.00018924168    0.020605061  0.00017418045    0.026662693  0.00024954647
             90    0.019468754  0.00017335242    0.017324111  0.00015242493     0.02255151  0.00021147477
             95    0.016087273  0.00015762787    0.014408888  0.00014897909    0.018345292  0.00024279664
            100    0.013662655  0.00014527049    0.012153158  0.00012720448    0.015724485   0.0001753862
            105    0.011606459  0.00013327609    0.010356372  0.00011792781    0.013253649  0.00016085964
            110    0.010284869  0.00012579667   0.0091885504  0.00011104781    0.011708058  0.00015261131
            115   0.0087380014  0.00011564379   0.0077900237  0.00010235019   0.0099365232  0.00013839212
            120    0.007449155  0.00010668041   0.0066326288  9.3981395e-05   0.0084727717  0.00012760877
            125   0.0066482139  0.00010086732   0.0059210597  8.9099231e-05   0.0075446019  0.00011963601
            130   0.0055896207  9.2434586e-05   0.0049924971  8.1772715e-05   0.0063083634  0.00011038277
            135   0.0051852425  8.9014585e-05   0.0046331841  7.8885118e-05   0.0058422346   0.0001057437
            140   0.0044564841  8.2296287e-05   0.0039650073  7.2458328e-05   0.0050471618  9.6806868e-05
            145   0.0038832623  7.6897777e-05   0.0034817482  6.8444311e-05   0.0043438801  9.0539207e-05
            150   0.0035258157  7.3314921e-05   0.0031460281  6.4795381e-05   0.0039655655  8.6517519e-05
            155   0.0030137895  6.7652088e-05   0.0026934862   5.990209e-05   0.0033829644  7.9080615e-05
            160   0.0028206789  6.5386635e-05     0.00251171  5.7812275e-05   0.0031803682   7.653616e-05
            165   0.0023406331  6.0022608e-05    0.002105534  5.3047601e-05   0.0025950843  7.1928645e-05
            170   0.0022822232  5.8838643e-05   0.0020325212  5.1874951e-05   0.0025690872  6.8606266e-05
            175   0.0019840657  5.4700581e-05   0.0017713711  4.8514476e-05   0.0022265028  6.3319524e-05
            180   0.0018639371  5.2987389e-05   0.0016601236  4.6979885e-05   0.0020985015  6.1639512e-05
            185   0.0014655163  4.7544892e-05   0.0013184293  4.2049139e-05   0.0016230118  5.5873758e-05
            190   0.0014274017  4.6496956e-05   0.0012885847   4.185694e-05    0.001572376  5.4933574e-05
            195    0.001311822  4.4402019e-05   0.0011712587   3.938179e-05   0.0014689196  5.2134763e-05
            200    0.001311822  4.4402019e-05   0.0011712587   3.938179e-05   0.0014689196  5.2134763e-05
