#     fidaa-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.9162179   0.0032821875      2.6012217   0.0036391665      3.0192285   0.0095396599
              5      2.1597798   0.0023186823      2.0137346    0.002570229      2.2161384   0.0028474659
             10      1.2468443   0.0015986954      1.1633502   0.0014103511      1.2986312   0.0021780011
             15     0.80030947   0.0012230091     0.75152257   0.0010990635     0.84707619   0.0015792997
             20     0.54390041  0.00098198924     0.50933312  0.00089329002     0.58167565   0.0012746596
             25     0.38287548  0.00080925421     0.35455642  0.00071929288     0.41438431  0.00099913299
             30     0.27575255  0.00067903245      0.2527226   0.0006056877     0.30201109  0.00088738608
             35     0.20436837  0.00057917257     0.18551667  0.00051376322     0.22904069  0.00074803899
             40     0.15146689  0.00049604132     0.13648539  0.00043653873     0.17335355  0.00063386539
             45     0.11690284  0.00043320049     0.10476049  0.00038074219     0.13608961  0.00055461095
             50    0.088997277  0.00037598198    0.079500779  0.00033433419     0.10468991  0.00049962314
             55    0.069987247   0.0003331045    0.062421009  0.00029372039    0.082708922  0.00042743167
             60    0.055768066  0.00029621616    0.049574346  0.00025882833    0.066209677  0.00037325676
             65    0.044667136  0.00026513658    0.039776564  0.00023592713    0.052803388  0.00034048639
             70     0.03623422  0.00023830713    0.032180268  0.00020789967     0.04279792  0.00029760173
             75     0.02960237  0.00021479001    0.026371539  0.00018868868    0.034671717  0.00026706816
             80    0.024500395   0.0001952942    0.021806188  0.00017120361    0.028618919  0.00024037473
             85    0.019989505  0.00017571576    0.017784876  0.00016283001    0.023249811  0.00023456914
             90    0.016841025  0.00016111615    0.014965974  0.00014134198    0.019540304  0.00019712706
             95    0.014008022  0.00014703993    0.012468204   0.0001297183    0.016171181  0.00017992212
            100    0.011830398   0.0001347999    0.010538396   0.0001199817     0.01359077  0.00016785726
            105    0.009971338  0.00012373763   0.0088288314  0.00010806327    0.011523324  0.00014898956
            110   0.0085339439  0.00011447317   0.0075676824  0.00010027771    0.009812688  0.00013726913
            115   0.0073369813  0.00010584062   0.0065200586  9.3409533e-05   0.0083918135  0.00012722482
            120   0.0063110425  9.8584638e-05   0.0056224271  8.7097638e-05   0.0071806146  0.00011919883
            125   0.0055195254  9.2190529e-05   0.0049134584  8.1495946e-05   0.0062873878  0.00011121363
            130   0.0046485571  8.4369411e-05     0.00413884  7.4321383e-05   0.0052765392  9.9363435e-05
            135   0.0042062192  8.0013317e-05   0.0037412383  7.0522499e-05   0.0047686663  9.3962209e-05
            140   0.0034820168    7.28901e-05   0.0031068405  6.4488197e-05   0.0039324581  8.6494837e-05
            145   0.0031905424   6.979547e-05   0.0028438788  6.1476984e-05    0.003607915  8.2677325e-05
            150   0.0027432131  6.4515285e-05   0.0024561887  6.0403317e-05   0.0030745116  8.6549652e-05
            155   0.0024270425  6.0822696e-05   0.0021665136  5.3786497e-05   0.0027368175  7.1620119e-05
            160   0.0022073949  5.7676672e-05   0.0019627693  5.0821086e-05   0.0024960047  6.8147375e-05
            165   0.0019317675  5.4318457e-05    0.001726603  4.7852766e-05   0.0021664466  6.3965164e-05
            170   0.0016523918  5.0204154e-05   0.0014747736   4.439985e-05   0.0018558044  5.8944055e-05
            175    0.001630774  4.9679562e-05   0.0014597913  4.3961101e-05   0.0018225878  5.8370601e-05
            180   0.0013411073  4.5402072e-05     0.00120444  4.0297572e-05   0.0014932693  5.3054868e-05
            185    0.001209256  4.3263917e-05   0.0010854274  3.8192023e-05   0.0013478663  5.1076199e-05
            190   0.0011204584  4.0926539e-05   0.0010085857  3.6912637e-05   0.0012423267  4.7214711e-05
            195  0.00091730646  3.7180236e-05  0.00081991327  3.3176468e-05   0.0010251901  4.3265357e-05
            200  0.00091730646  3.7180236e-05  0.00081991327  3.3176468e-05   0.0010251901  4.3265357e-05
