# fidaa-integra        central        num_err    min (scale)        num_err    max (scale)        num_err
# ted
              0      46.455854    0.022343318      44.018204    0.019018988      48.428827    0.051354137
              1      46.455854    0.022343318      44.018204    0.019018988      48.428827    0.051354137
