#    fidaaBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6   0.0015627627  1.0938456e-05   0.0014917181  9.5265185e-06   0.0015960103  2.8806109e-05
           -2.2   0.0088667838  2.5958784e-05   0.0084363013  2.2576308e-05   0.0091994874  5.1560027e-05
           -1.8    0.018323665  3.7082626e-05    0.017396693  3.2229384e-05    0.019186467  9.2665582e-05
           -1.4    0.025305992  4.3133034e-05    0.023969561   3.745681e-05    0.026458266  9.6831152e-05
             -1    0.029363685  4.6273348e-05    0.027803758  4.0163268e-05    0.030601923  8.9664641e-05
           -0.6    0.032032705  4.8162142e-05    0.030312335  4.1780664e-05    0.033333737  9.8674882e-05
           -0.2    0.032811711  4.8847389e-05    0.031047568  4.2297978e-05    0.034276217  9.4874094e-05
            0.2    0.031902346  4.8281836e-05    0.030198358  4.2101478e-05    0.033374298  0.00010173629
            0.6    0.029361442  4.6563498e-05    0.027804907  4.0237315e-05    0.030652565  9.5110042e-05
              1    0.025289946   4.354015e-05    0.023962681   3.770522e-05    0.026329289  9.2663883e-05
            1.4    0.018359778  3.7597935e-05    0.017428131  3.2740647e-05    0.019051556  8.5926392e-05
            1.8   0.0089059131  2.6350214e-05   0.0084672491  2.3446828e-05   0.0091704133  6.5758156e-05
            2.2   0.0015502439  1.1124094e-05   0.0014840477  9.9844808e-06   0.0016033624    2.71326e-05
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
