#        inc-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      3.3542612    0.010707872      3.1989214   0.0092974757      3.4831088    0.023169142
           -2.6      5.4490716     0.01356743      5.1907885    0.011818564      5.6694604    0.034930316
           -2.2      8.3347839    0.016641135      7.9245507     0.01444837      8.6650584    0.035288081
           -1.8      11.521369    0.019399195       10.95295    0.016955566      12.033826     0.04725555
           -1.4      14.484992    0.021573005       13.74058    0.018751104      15.165487    0.047014796
             -1      16.780356    0.023106483      15.903937    0.020044146      17.496073    0.048774075
           -0.6      18.311109    0.024057174      17.344184    0.020881357       19.06599    0.049824788
           -0.2      18.747991    0.024389071      17.762088    0.021147077      19.558864    0.048903646
            0.2       18.26565     0.02412567      17.306467    0.021009032      19.099252    0.053292636
            0.6      16.760807    0.023255792       15.89281    0.020112495      17.499821     0.04894826
              1      14.479773    0.021780431      13.737213    0.018855425      15.102008    0.045998816
            1.4      11.538637     0.01965998      10.966051    0.017108453      11.976236    0.045024898
            1.8      8.3353477    0.016904163      7.9241714    0.014793858      8.6386115    0.037948683
            2.2      5.4425137    0.013830059      5.1890804    0.012075988      5.6574071    0.036743702
            2.6      3.3675755    0.010930582      3.2075256   0.0094391776      3.5254778    0.027994641
              3      3.3675755    0.010930582      3.2075256   0.0094391776      3.5254778    0.027994641
