# incBR-integra        central        num_err    min (scale)        num_err    max (scale)        num_err
# ted
              0     0.16637997  5.9399921e-05     0.15790263  4.9582141e-05     0.17351619  0.00015076615
              1     0.16637997  5.9399921e-05     0.15790263  4.9582141e-05     0.17351619  0.00015076615
