#        fid-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6    0.090068205    0.001412185     0.08210436   0.0012360157     0.10140667   0.0018856902
           -2.2     0.52669947   0.0033535536     0.47801472   0.0029373527     0.59683022   0.0042894812
           -1.8      1.0838363   0.0047704289     0.98829344    0.004294294      1.2150089   0.0065324495
           -1.4      1.5952332   0.0057281375      1.4515498   0.0050994737      1.7870266    0.007288638
             -1      1.9433293   0.0062786683      1.7686032   0.0055850385      2.1687084   0.0079561082
           -0.6      2.1546875   0.0065884602      1.9611924   0.0058456364      2.4007131   0.0082774247
           -0.2      2.2466941    0.006723378      2.0446977   0.0059625793      2.5013329   0.0083827519
            0.2      2.1618702   0.0066093058      1.9684758   0.0059060889      2.4060319   0.0084463507
            0.6      1.9378279   0.0062849028      1.7643478   0.0055657719      2.1605784   0.0079342534
              1      1.6040555   0.0057545462      1.4599003   0.0051349324      1.7953891   0.0074811893
            1.4      1.0913084   0.0048044003     0.99255545   0.0042346244      1.2284219   0.0061879707
            1.8     0.52366307   0.0033633601     0.47571366   0.0029476183     0.59260513   0.0043896892
            2.2     0.09075746    0.001417888    0.082458673   0.0012291926     0.10326011   0.0018419382
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
