#     fidBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  1.2600665e-05   2.268237e-07  1.1727494e-05  2.0102663e-07   1.381464e-05  2.8956761e-07
              5  4.3246814e-05   4.219279e-07  3.9924646e-05  3.7118614e-07  4.7650555e-05   5.425291e-07
             10  8.3654403e-05  5.8015352e-07  7.7332582e-05  5.1375028e-07  9.1479549e-05  7.2892672e-07
             15  0.00013766928  7.4173287e-07  0.00012791051  6.5881486e-07  0.00014883814  9.1342742e-07
             20  0.00021042841  9.1020789e-07  0.00019567972  8.1439697e-07  0.00022661071  1.1200224e-06
             25  0.00028435106  1.0531517e-06  0.00026376272  9.3582022e-07  0.00030651797  1.2922398e-06
             30  0.00031845736   1.103486e-06  0.00029367368  9.8097085e-07  0.00034468699  1.3357094e-06
             35  0.00030424904  1.0722116e-06  0.00027854384    9.48417e-07  0.00033528572  1.2800101e-06
             40  0.00026906165   1.000378e-06  0.00024485062  8.9244177e-07  0.00030164826  1.3000894e-06
             45   0.0002288861  9.1709949e-07  0.00020720861  8.1737132e-07  0.00026109526  1.1930071e-06
             50  0.00019077963  8.3423212e-07  0.00017159063  7.3419405e-07  0.00022145731  1.0597924e-06
             55  0.00015701471  7.5351127e-07  0.00014121694  6.7061835e-07  0.00018292607  9.8199544e-07
             60  0.00012981119  6.8355158e-07  0.00011619295  6.0026941e-07  0.00015259291  8.6034955e-07
             65  0.00010820584   6.219675e-07  9.6807978e-05  5.5558805e-07  0.00012705506  7.9691889e-07
             70  9.0048173e-05  5.6600604e-07   8.037602e-05  5.0058875e-07  0.00010580822  7.1594558e-07
             75  7.5573135e-05  5.1772354e-07   6.742144e-05  4.5440336e-07  8.8450507e-05   6.427327e-07
             80  6.2621588e-05    4.71575e-07  5.5883664e-05  4.1601996e-07  7.2962903e-05  5.8847424e-07
             85  5.2326247e-05  4.2957861e-07  4.6773487e-05  3.9538963e-07  6.0524314e-05  5.6647048e-07
             90  4.4194071e-05     3.9351e-07  3.9325732e-05  3.4600458e-07  5.1191927e-05  4.8004772e-07
             95  3.6518111e-05  3.5781527e-07  3.2708175e-05  3.3818253e-07  4.1643814e-05  5.5114836e-07
            100  3.1014226e-05    3.29764e-07  2.7587668e-05  2.8875417e-07  3.5694581e-05  3.9812667e-07
            105  2.6346662e-05  3.0253672e-07  2.3508965e-05  2.6769612e-07  3.0085784e-05  3.6515138e-07
            110  2.3346652e-05  2.8555843e-07  2.0858009e-05  2.5207853e-07  2.6577291e-05  3.4642767e-07
            115  1.9835263e-05   2.625114e-07  1.7683354e-05  2.3233494e-07  2.2555908e-05  3.1415011e-07
            120  1.6909582e-05  2.4216452e-07  1.5056067e-05  2.1333777e-07  1.9233192e-05  2.8967191e-07
            125  1.5091446e-05  2.2896881e-07  1.3440805e-05  2.0225525e-07  1.7126246e-05  2.7157375e-07
            130  1.2688439e-05  2.0982651e-07  1.1332968e-05  1.8562406e-07  1.4319985e-05  2.5056889e-07
            135    1.17705e-05  2.0206311e-07  1.0517328e-05  1.7906922e-07  1.3261873e-05   2.400382e-07
            140  1.0116219e-05  1.8681257e-07  9.0005666e-06   1.644804e-07  1.1457057e-05  2.1975159e-07
            145  8.8150054e-06  1.7455796e-07  7.9035685e-06  1.5536859e-07  9.8606079e-06    2.05524e-07
            150  8.0036018e-06  1.6642487e-07  7.1414837e-06  1.4708552e-07  9.0018337e-06  1.9639477e-07
            155  6.8413021e-06  1.5357024e-07  6.1142137e-06  1.3597774e-07  7.6793292e-06    1.79513e-07
            160  6.4029412e-06  1.4842766e-07  5.7015817e-06  1.3123386e-07  7.2194358e-06  1.7373708e-07
            165  5.3132371e-06  1.3625132e-07  4.7795622e-06  1.2041805e-07  5.8908414e-06  1.6327802e-07
            170  5.1806467e-06  1.3356372e-07  4.6138232e-06  1.1775614e-07   5.831828e-06  1.5573622e-07
            175  4.5038291e-06  1.2417032e-07  4.0210124e-06  1.1012786e-07  5.0541614e-06  1.4373532e-07
            180  4.2311373e-06  1.2028137e-07  3.7684805e-06  1.0664434e-07  4.7635984e-06  1.3992169e-07
            185   3.326722e-06   1.079269e-07  2.9928345e-06  9.5451545e-08  3.6842369e-06  1.2683343e-07
            190  3.2402019e-06  1.0554809e-07  2.9250872e-06  9.5015255e-08  3.5692935e-06  1.2469921e-07
            195  2.9778359e-06  1.0079258e-07  2.6587573e-06  8.9396664e-08  3.3344475e-06  1.1834591e-07
            200  2.9778359e-06  1.0079258e-07  2.6587573e-06  8.9396664e-08  3.3344475e-06  1.1834591e-07
