#      fidBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6  0.00020445482  3.2056599e-06   0.0001863769  2.8057558e-06  0.00023019314  4.2805167e-06
           -2.2   0.0011956078  7.6125666e-06   0.0010850934  6.6677907e-06   0.0013548046  9.7371224e-06
           -1.8   0.0024603084  1.0828874e-05   0.0022434261  9.7480474e-06   0.0027580701   1.482866e-05
           -1.4   0.0036211794  1.3002872e-05    0.003295018  1.1575805e-05   0.0040565503  1.6545208e-05
             -1   0.0044113575  1.4252577e-05   0.0040147294  1.2678037e-05   0.0049229681  1.8060366e-05
           -0.6   0.0048911405  1.4955805e-05   0.0044519067  1.3269595e-05   0.0054496188  1.8789754e-05
           -0.2   0.0050999955  1.5262068e-05   0.0046414638  1.3535055e-05   0.0056780257  1.9028847e-05
            0.2   0.0049074453  1.5003124e-05   0.0044684402  1.3406822e-05   0.0054616923  1.9173216e-05
            0.6   0.0043988693  1.4266729e-05   0.0040050695  1.2634302e-05    0.004904513  1.8010755e-05
              1   0.0036412061   1.306282e-05   0.0033139737  1.1656297e-05   0.0040755332    1.69823e-05
            1.4     0.00247727  1.0905989e-05   0.0022531009  9.6125975e-06   0.0027885178  1.4046694e-05
            1.8   0.0011887152  7.6348275e-06     0.00107987  6.6910936e-06   0.0013452136  9.9645946e-06
            2.2  0.00020601943  3.2186058e-06  0.00018718119  2.7902673e-06  0.00023440046  4.1811998e-06
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
