# fidBR-integra        central        num_err    min (scale)        num_err    max (scale)        num_err
# ted
              0    0.015481428  1.6625708e-05     0.01409026  1.4754593e-05     0.01730404  2.1356487e-05
              1    0.015481428  1.6625708e-05     0.01409026  1.4754593e-05     0.01730404  2.1356487e-05
