#       inc-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.6808122   0.0040941031      4.1827404   0.0045411588      4.8408964    0.012549006
              5      3.3647264   0.0028638492      3.1423863   0.0024560006       3.455315   0.0035434605
             10      1.9290461   0.0019792533      1.8015216    0.001746107      2.0115607   0.0027231565
             15      1.2397809   0.0015205349      1.1660525    0.001366496       1.312664   0.0019688603
             20     0.84600121   0.0012250738     0.79197121   0.0011091976     0.90496358   0.0015895061
             25      0.5994257   0.0010142792     0.55506558  0.00090133322     0.64860796   0.0012586628
             30     0.43434646  0.00085471683     0.39791118  0.00075934042     0.47774636   0.0011170029
             35     0.32349705  0.00073076952     0.29332843  0.00064476713     0.36473613   0.0009453482
             40     0.24224638  0.00062922574      0.2181393    0.000551508       0.278852  0.00080802055
             45     0.18742787   0.0005509519     0.16788589   0.0004822624     0.21937579  0.00070959499
             50     0.14432918  0.00048111145      0.1289509  0.00042872113      0.1704953   0.0006556723
             55     0.11495984  0.00042835536     0.10243092  0.00037581795     0.13675888  0.00055018645
             60    0.091744372  0.00038129164    0.081549649  0.00033252328     0.10943027  0.00048254814
             65    0.073718856  0.00034142073    0.065542864  0.00030091841    0.087721107   0.0004360733
             70    0.059598331  0.00030660868    0.052943815  0.00026820496    0.070678778  0.00038681449
             75    0.049212327  0.00027797131    0.043741156  0.00024308259     0.05803583  0.00034711028
             80    0.040917039  0.00025316947    0.036387237  0.00022180127     0.04798184  0.00031359029
             85    0.033607121  0.00022906046    0.029891558  0.00020722673    0.039225754  0.00029700381
             90    0.028404305  0.00020998434    0.025228644  0.00018375762    0.033053001  0.00025792773
             95    0.023847653  0.00019241662    0.021185088  0.00016900094    0.027651508  0.00023556403
            100    0.019882707  0.00017547178    0.017668915  0.00015469176    0.022954997  0.00021677882
            105    0.016926672  0.00016163887    0.014995666  0.00014109183    0.019573596  0.00019539181
            110    0.014210072  0.00014841715    0.012623899  0.00012991136    0.016325621  0.00017957988
            115    0.012421626  0.00013789972    0.011019948  0.00012125521    0.014267939  0.00016587189
            120    0.010668256  0.00012836628   0.0094685026  0.00011269045    0.012221148  0.00015479024
            125    0.009315731  0.00012021788   0.0082951411  0.00010570062    0.010617382  0.00014495036
            130   0.0078177602   0.0001098662   0.0069539394  9.6340833e-05   0.0089028986  0.00013046577
            135   0.0069750552  0.00010332512    0.006201964  9.1025553e-05   0.0079282505  0.00012242638
            140   0.0058795908  9.4924678e-05   0.0052412332   8.367302e-05   0.0066600301  0.00011313005
            145   0.0052654817  8.9682631e-05   0.0046817139  7.8870992e-05   0.0059833837   0.0001075344
            150   0.0044905214  8.2690914e-05   0.0040052344  7.5482826e-05   0.0050672025   0.0001060844
            155   0.0039246839  7.7885296e-05   0.0035003887  6.8410513e-05   0.0044363138  9.2577083e-05
            160   0.0034698148  7.2821314e-05   0.0030805482  6.3813532e-05   0.0039416404  8.6609187e-05
            165   0.0030725578  6.8941267e-05   0.0027475582  6.0727183e-05   0.0034473939  8.1389946e-05
            170   0.0026721138   6.399328e-05   0.0023893579  5.6909369e-05   0.0029950939  7.7597619e-05
            175   0.0025305683    6.21541e-05   0.0022595764   5.472289e-05    0.002859723  7.5489438e-05
            180    0.002127023    5.72488e-05   0.0019038728  5.0633667e-05   0.0023838836  6.7445807e-05
            185   0.0019397622  5.4681052e-05    0.001735794  4.8156622e-05   0.0021729028  6.4453146e-05
            190   0.0018113861  5.2258707e-05    0.001620267  4.6586249e-05   0.0020267221  6.0818317e-05
            195   0.0014870154  4.7598794e-05   0.0013254407  4.2106056e-05   0.0016707379  5.5741836e-05
            200   0.0014870154  4.7598794e-05   0.0013254407  4.2106056e-05   0.0016707379  5.5741836e-05
