#fid-integrated        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.8200121   0.0073241005      6.2071629   0.0064998206      7.6229253   0.0094081442
              1      6.8200121   0.0073241005      6.2071629   0.0064998206      7.6229253   0.0094081442
