#     fidaa-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.3021304   0.0026125386      1.1106317   0.0028447904        1.39787    0.009228655
              5       1.853086    0.002377586      1.6606839   0.0026834977       1.897485   0.0028819371
             10      1.5088244    0.001852285      1.3944813   0.0016018735      1.5509341   0.0023527149
             15      1.1217591   0.0014936209      1.0432464   0.0013169254      1.1584074   0.0017662515
             20     0.82768214   0.0012353977     0.77787707    0.001114939     0.86454342   0.0016181287
             25     0.61081145   0.0010388238      0.5758303  0.00092930904     0.64528386   0.0013067684
             30      0.4530113  0.00088074225     0.42217197  0.00078801237     0.48423614   0.0010915104
             35      0.3390994  0.00075434867     0.31268862  0.00067118649     0.36651978  0.00096389849
             40     0.25669098  0.00065146568     0.23481409  0.00059001432     0.28355567  0.00085864604
             45     0.19608165  0.00056557793     0.17820118  0.00050375153     0.22083928   0.0007292044
             50     0.15202055  0.00049618115     0.13734701  0.00043673868     0.17410203  0.00062801598
             55     0.11834162  0.00043574667     0.10679002    0.000386747     0.13638224  0.00056062046
             60    0.093742544  0.00038723482    0.084341822  0.00034217379     0.10875812  0.00049064199
             65    0.075589659  0.00034651514    0.067949518  0.00031177435    0.087715239  0.00044684246
             70    0.061018436  0.00031072867    0.054731662   0.0002746697    0.070852487  0.00039173397
             75    0.049868669  0.00028027722    0.044639192  0.00024619231    0.057841523  0.00034673481
             80     0.04058382  0.00025301061    0.036392814  0.00022367687    0.046775452  0.00031598107
             85    0.033461676  0.00022881272    0.029988526  0.00020770518    0.038422887  0.00029422992
             90    0.027521817  0.00020704382    0.024613759  0.00018254826    0.031557118  0.00025278198
             95    0.022584794  0.00018719523    0.020269951  0.00017388093     0.02562128  0.00027170043
            100    0.018868484  0.00017151378     0.01688802   0.0001512692     0.02148028  0.00020772063
            105    0.015884198  0.00015657608    0.014215396  0.00013838976    0.018026542  0.00018863502
            110    0.013755791  0.00014593782    0.012326747  0.00012899611    0.015553522  0.00017674527
            115    0.011707244  0.00013442306    0.010477803  0.00011886215    0.013215104  0.00016083923
            120   0.0098874467  0.00012342295   0.0088399948  0.00010881809    0.011163725  0.00014772016
            125   0.0086670759  0.00011583717   0.0077756028  0.00010324036   0.0097207074   0.0001394343
            130   0.0074292869  0.00010694833   0.0066556307  9.4680662e-05   0.0083399981  0.00012761458
            135   0.0067378357  0.00010167386   0.0060321679  9.0158809e-05   0.0075606879    0.000120354
            140   0.0057092687  9.3646625e-05   0.0051006525  8.2577517e-05   0.0064197342   0.0001109723
            145   0.0049545747  8.7264043e-05   0.0044563198  7.7654182e-05   0.0055109296  0.00010278535
            150    0.004535707  8.3461266e-05   0.0040844036  7.6724175e-05   0.0050275264  0.00010728215
            155   0.0037898916  7.5963977e-05   0.0033892415  6.7230606e-05   0.0042460924  8.8819803e-05
            160    0.003518999  7.3410688e-05   0.0031435483   6.487487e-05   0.0039455156  8.6047303e-05
            165   0.0029293962  6.7347397e-05   0.0026379735  5.9546122e-05   0.0032422402  8.0351689e-05
            170   0.0028285412  6.5761261e-05   0.0025275037   5.802047e-05   0.0031674021   7.703501e-05
            175    0.002420952  6.0781234e-05   0.0021723404  5.3980918e-05   0.0026944117  7.0970417e-05
            180   0.0022613515  5.8719007e-05   0.0020259067  5.2171826e-05   0.0025224976  6.8321949e-05
            185   0.0018306861  5.3378507e-05   0.0016560814  4.7285168e-05   0.0020104747  6.2807229e-05
            190   0.0017370746  5.1586264e-05   0.0015731664  4.6467154e-05   0.0019048271  6.1181102e-05
            195   0.0016580029  5.0197231e-05   0.0014873246  4.4472658e-05   0.0018428652  5.9161068e-05
            200   0.0016580029  5.0197231e-05   0.0014873246  4.4472658e-05   0.0018428652  5.9161068e-05
