#     fidaa-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.7389541   0.0030561703      2.4430756   0.0033704089      2.8408543   0.0094565174
              5      2.0327848   0.0021542994      1.8966082   0.0018426806      2.0881774   0.0025901154
             10      1.1653671    0.001482145      1.0874305   0.0013135552      1.2145019   0.0020539425
             15     0.74603141   0.0011338386     0.70086719   0.0010297876     0.78887061   0.0015498665
             20     0.50650053  0.00090930115     0.47416408  0.00085135014     0.54208031   0.0011955594
             25     0.35814471  0.00075130707     0.33152705  0.00067072542     0.38772644  0.00092904567
             30     0.25646773    0.000628986     0.23471883  0.00055739554     0.28205387    0.000808046
             35     0.18792202  0.00053404358     0.17059852  0.00047230539     0.21095706  0.00068895859
             40      0.1411196  0.00045979936     0.12717279  0.00040497915     0.16183858  0.00058988493
             45     0.10775505  0.00040014245    0.096665231  0.00035920166     0.12550326  0.00054065495
             50    0.081987672  0.00034749288    0.073237311  0.00030467399    0.096642151   0.0004461296
             55    0.064969363  0.00030820366    0.057877347   0.0002699552     0.07708118  0.00039081771
             60    0.051405769  0.00027334899      0.0457154  0.00023915861     0.06115292  0.00034520588
             65    0.040687778   0.0002428704     0.03615617  0.00021268492    0.048344597  0.00030479069
             70    0.033065569  0.00021836568    0.029375868  0.00019144227    0.039128209   0.0002727952
             75     0.02707191  0.00019745252    0.024041898  0.00017260241    0.031848554  0.00024803039
             80    0.022260373  0.00017864068    0.019768503  0.00015649553    0.026093282  0.00021933902
             85     0.01834647  0.00016234834    0.016303695  0.00014220817    0.021392009   0.0001989477
             90     0.01530411  0.00014794939    0.013598651  0.00012986142    0.017788656  0.00018078678
             95     0.01259247  0.00013434392    0.011226803  0.00011849883    0.014509323  0.00016431841
            100    0.010686063  0.00012356796    0.009498096  0.00010815925    0.012309834  0.00014934309
            105   0.0090876963  0.00011378113   0.0080733933  9.9543315e-05    0.010447018  0.00013687382
            110   0.0076876965  0.00010457273   0.0068303414  9.1663222e-05   0.0088129524  0.00012628951
            115   0.0066329266  9.7008755e-05   0.0059065872  8.5179742e-05   0.0075650165  0.00011621737
            120   0.0057419249  9.0186944e-05   0.0051363573   8.387082e-05   0.0064957659  0.00011728261
            125    0.004858092  8.3074381e-05   0.0043315468  7.3011522e-05   0.0055161934   9.938835e-05
            130   0.0041660218  7.6981274e-05   0.0037188416  6.7881677e-05   0.0047141613  9.2684191e-05
            135   0.0037344967  7.2867906e-05   0.0033286676  6.4252425e-05   0.0042335086  8.6911875e-05
            140   0.0032904939  6.8059339e-05   0.0029268428  5.9970879e-05   0.0037352446   8.043934e-05
            145   0.0028609352   6.362796e-05   0.0025456766  5.5904419e-05    0.003240251  7.4864658e-05
            150   0.0024835953  5.9051551e-05   0.0022216249  5.2153518e-05   0.0027859212  6.9607805e-05
            155   0.0021881059  5.5556318e-05   0.0019631431  4.9576445e-05   0.0024458625  6.5945742e-05
            160   0.0019909865  5.2902266e-05   0.0017854151  4.6873393e-05   0.0022246074  6.1779952e-05
            165    0.001720188  4.8718224e-05    0.001530037  4.3142125e-05   0.0019431735  5.6350165e-05
            170   0.0015038406  4.5897616e-05   0.0013388609  4.0551947e-05   0.0016977141  5.3754377e-05
            175   0.0013278577  4.3224596e-05   0.0011911155  3.8560464e-05   0.0014821729   5.048623e-05
            180    0.001238542  4.1671832e-05   0.0011121984  3.7176283e-05   0.0013773748  4.8619892e-05
            185   0.0010818415  3.9284102e-05  0.00097079509  3.4606384e-05   0.0012035866   4.677195e-05
            190  0.00097633096  3.6782838e-05  0.00087070835  3.2582677e-05   0.0010963541  4.2634184e-05
            195  0.00085180906  3.4733039e-05    0.000769032  3.1595694e-05  0.00093779118  4.2263756e-05
            200  0.00085180906  3.4733039e-05    0.000769032  3.1595694e-05  0.00093779118  4.2263756e-05
