#      incBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3   0.0069135338  2.2240167e-05   0.0065876539  1.9382281e-05   0.0071844264   6.122955e-05
           -2.6    0.011321938  2.8313591e-05    0.010783182  2.4577273e-05    0.011765455  6.9400358e-05
           -2.2    0.017338414  3.4763409e-05    0.016485926  3.0164686e-05    0.017989962    7.85269e-05
           -1.8    0.024266616  4.0727127e-05    0.023061319  3.5466731e-05     0.02528795  9.5165854e-05
           -1.4    0.030655798  4.5456777e-05    0.029087677  3.9522673e-05     0.03201869  0.00010819872
             -1    0.035755423  4.8819266e-05    0.033887577  4.2325352e-05    0.037320802  0.00010882291
           -0.6    0.038989551  5.0883127e-05    0.036945865  4.4224006e-05    0.040776846  0.00010735541
           -0.2    0.040196214  5.1617345e-05     0.03807421  4.4721795e-05    0.041927145  0.00011156049
            0.2    0.039016143  5.1039025e-05    0.036974314  4.4350923e-05    0.040737958  0.00011747452
            0.6    0.035724697  4.9129727e-05    0.033883893  4.2813192e-05    0.037327608   0.0001054099
              1    0.030685242  4.5903488e-05    0.029110847  4.0417027e-05    0.031965734  0.00010596018
            1.4    0.024271195  4.1333068e-05    0.023081868  3.5899856e-05    0.025392068  9.9488348e-05
            1.8    0.017280075  3.5303254e-05    0.016440574  3.0502175e-05    0.017980395  9.3368047e-05
            2.2    0.011230632  2.8786107e-05    0.010706435  2.4998791e-05    0.011587781  8.0351727e-05
            2.6   0.0069379309  2.2760072e-05    0.006616275  1.9743333e-05   0.0071862377  6.0228006e-05
              3   0.0069379309  2.2760072e-05    0.006616275  1.9743333e-05   0.0071862377  6.0228006e-05
