#      fidBR-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6  0.00018719047  2.9252698e-06    0.000169469  2.5480165e-06  0.00021436617   3.783323e-06
           -2.2   0.0010762821  6.9423346e-06  0.00097847581  6.1181532e-06   0.0012168115  8.9260958e-06
           -1.8   0.0022823665    1.00174e-05   0.0020767152  8.9741724e-06   0.0025721535  1.3264111e-05
           -1.4   0.0033437932  1.2011283e-05   0.0030461062  1.0694121e-05   0.0037401006  1.5540313e-05
             -1   0.0040861532  1.3193066e-05   0.0037211973  1.1716298e-05   0.0045607457  1.6731515e-05
           -0.6   0.0045800552  1.3931499e-05   0.0041687293  1.2466098e-05   0.0051092418  1.7863694e-05
           -0.2   0.0047634332  1.4164276e-05   0.0043326835  1.2585957e-05   0.0053173837  1.7780587e-05
            0.2     0.00458503  1.3934984e-05   0.0041742534  1.2383757e-05   0.0051148989  1.7599675e-05
            0.6   0.0040918332  1.3222918e-05   0.0037253899  1.1809958e-05   0.0045708201  1.7107189e-05
              1   0.0033393196  1.2035892e-05   0.0030340843  1.0579113e-05   0.0037543491  1.5191575e-05
            1.4   0.0022991457  1.0075338e-05    0.002093553  8.9438577e-06   0.0025871332  1.3241603e-05
            1.8   0.0010855248  7.0148077e-06  0.00098736571  6.1324067e-06   0.0012269215  9.0745759e-06
            2.2  0.00018618342   2.929265e-06  0.00016830762  2.5299622e-06  0.00021402843   3.791684e-06
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
