#        fid-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6    0.082462762   0.0012886651    0.074655947   0.0011224742    0.094434435   0.0016666621
           -2.2     0.47413306   0.0030582972     0.43104661   0.0026952217     0.53604032   0.0039322008
           -1.8      1.0054478   0.0044129513     0.91485249   0.0039533799      1.1331073   0.0058432205
           -1.4      1.4730367   0.0052913141       1.341897   0.0047110667      1.6476214   0.0068459531
             -1      1.8000675   0.0058119232       1.639294   0.0051613647      2.0091391   0.0073707115
           -0.6      2.0176455   0.0061372241      1.8364446    0.005491673      2.2507673   0.0078694685
           -0.2      2.0984287   0.0062397692      1.9086711   0.0055444747      2.3424598   0.0078328579
            0.2       2.019837   0.0061387595      1.8388782   0.0054553996      2.2532594   0.0077531608
            0.6      1.8025697   0.0058250742      1.6411409   0.0052026248      2.0135771   0.0075362065
              1      1.4710659   0.0053021552       1.336601    0.004660402      1.6538983    0.006692324
            1.4      1.0128395   0.0044384749     0.92227005   0.0039400254      1.1397063   0.0058333052
            1.8     0.47820475   0.0030902236     0.43496287   0.0027015007     0.54049405   0.0039976105
            2.2    0.082019127   0.0012904251    0.074144326   0.0011145208    0.094285652   0.0016703454
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
