#   fidaaBR-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0062174258  6.9375067e-06   0.0055457816  7.6508282e-06   0.0064487392  2.1466295e-05
              5   0.0046144214  4.8902596e-06   0.0043053006   4.182885e-06   0.0047401626  5.8795619e-06
             10   0.0026453833  3.3644691e-06   0.0024684673  2.9817704e-06   0.0027569193  4.6624495e-06
             15   0.0016934913  2.5738137e-06   0.0015909685  2.3376178e-06   0.0017907363  3.5181969e-06
             20   0.0011497562  2.0641136e-06   0.0010763525  1.9325648e-06   0.0012305223  2.7139198e-06
             25  0.00081298849  1.7054671e-06  0.00075256641  1.5225467e-06  0.00088013901  2.1089337e-06
             30  0.00058218175  1.4277982e-06  0.00053281174  1.2652879e-06  0.00064026228  1.8342644e-06
             35  0.00042658298  1.2122789e-06  0.00038725865  1.0721332e-06  0.00047887253   1.563936e-06
             40   0.0003203415  1.0437445e-06  0.00028868223  9.1930267e-07  0.00036737357  1.3390388e-06
             45  0.00024460397  9.0832335e-07  0.00021943007  8.1538777e-07   0.0002848924  1.2272867e-06
             50  0.00018611202  7.8880883e-07   0.0001662487  6.9160996e-07  0.00021937768  1.0127142e-06
             55  0.00014748046   6.996223e-07  0.00013138158  6.1279831e-07  0.00017497428  8.8715619e-07
             60   0.0001166911  6.2050221e-07  0.00010377396  5.4289005e-07  0.00013881713  7.8361734e-07
             65  9.2361256e-05  5.5131581e-07  8.2074505e-05  4.8279478e-07  0.00010974224  6.9187487e-07
             70  7.5058842e-05  4.9569011e-07  6.6683221e-05  4.3457394e-07  8.8821035e-05   6.192451e-07
             75  6.1453234e-05  4.4821722e-07  5.4575109e-05  3.9180748e-07  7.2296217e-05  5.6302898e-07
             80  5.0531046e-05  4.0551436e-07  4.4874501e-05  3.5524485e-07  5.9231751e-05  4.9789958e-07
             85  4.1646487e-05  3.6853074e-07  3.7009388e-05  3.2281255e-07   4.855986e-05  4.5161129e-07
             90  3.4740329e-05   3.358451e-07  3.0868938e-05  2.9478543e-07   4.038025e-05    4.10386e-07
             95  2.8584908e-05  3.0496069e-07  2.5484842e-05  2.6899235e-07  3.2936164e-05   3.730028e-07
            100  2.4257363e-05  2.8049926e-07  2.1560678e-05  2.4552151e-07  2.7943322e-05   3.390088e-07
            105  2.0629071e-05  2.5828317e-07  1.8326603e-05  2.2596332e-07  2.3714732e-05  3.1070357e-07
            110  1.7451071e-05  2.3738009e-07  1.5504875e-05  2.0807552e-07  2.0005402e-05  2.8667718e-07
            115  1.5056744e-05  2.2020987e-07  1.3407953e-05  1.9335801e-07  1.7172587e-05  2.6381343e-07
            120   1.303417e-05  2.0472437e-07  1.1659531e-05  1.9038676e-07  1.4745388e-05  2.6623151e-07
            125  1.1027869e-05  1.8857885e-07  9.8326113e-06  1.6573616e-07  1.2521759e-05  2.2561155e-07
            130  9.4568696e-06  1.7474749e-07  8.4417704e-06  1.5409141e-07  1.0701146e-05  2.1039311e-07
            135  8.4773077e-06  1.6541015e-07  7.5560754e-06    1.45853e-07  9.6100644e-06  1.9728996e-07
            140  7.4694212e-06   1.544947e-07  6.6439331e-06   1.361339e-07  8.4790052e-06   1.825973e-07
            145  6.4943229e-06  1.4443547e-07  5.7786858e-06  1.2690303e-07  7.3553698e-06  1.6994277e-07
            150  5.6377613e-06  1.3404702e-07  5.0430886e-06  1.1838849e-07   6.324041e-06  1.5800972e-07
            155  4.9670005e-06  1.2611284e-07  4.4563349e-06  1.1253853e-07   5.552108e-06  1.4969684e-07
            160  4.5195395e-06  1.2008815e-07  4.0528922e-06   1.064026e-07  5.0498587e-06  1.4024049e-07
            165  3.9048267e-06  1.1059037e-07  3.4731841e-06  9.7932623e-08  4.4110039e-06  1.2791488e-07
            170  3.4137182e-06  1.0418759e-07  3.0392142e-06   9.205292e-08  3.8538109e-06  1.2202244e-07
            175  3.0142369e-06  9.8119834e-08  2.7038322e-06  8.7532253e-08  3.3645325e-06  1.1460374e-07
            180  2.8114903e-06  9.4595059e-08  2.5246904e-06  8.4390162e-08  3.1266407e-06  1.1036715e-07
            185  2.4557802e-06  8.9174913e-08  2.2037049e-06  7.8556491e-08  2.7321417e-06  1.0617233e-07
            190  2.2162713e-06  8.3497042e-08   1.976508e-06  7.3962676e-08  2.4887237e-06  9.6779597e-08
            195  1.9336066e-06  7.8843999e-08  1.7457027e-06  7.1722225e-08   2.128786e-06  9.5938726e-08
            200  1.9336066e-06  7.8843999e-08  1.7457027e-06  7.1722225e-08   2.128786e-06  9.5938726e-08
