#     incBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.004524512   6.977355e-06   0.0038612354  7.6045803e-06   0.0048300629  2.7346899e-05
              5   0.0062202982  6.2260847e-06   0.0055913797   6.914621e-06   0.0063682022  7.5898112e-06
             10   0.0049110682  4.7964443e-06   0.0045387154  4.1418573e-06   0.0050445689  5.8878188e-06
             15   0.0036502589  3.8741032e-06   0.0033942263  3.4166232e-06   0.0037728775  4.5863734e-06
             20   0.0026985685  3.2180218e-06   0.0025400777  2.9015864e-06   0.0028199189  4.2070603e-06
             25   0.0020015344  2.7150675e-06    0.001885241  2.4515811e-06   0.0021167978  3.4716374e-06
             30   0.0014921646  2.3125935e-06    0.001389264  2.0778967e-06   0.0015971574  2.9097178e-06
             35   0.0011233002  1.9888445e-06   0.0010347299  1.7719923e-06   0.0012219839  2.5864621e-06
             40  0.00085575498  1.7240488e-06  0.00078269544  1.6632573e-06  0.00095117081  2.4832766e-06
             45  0.00065918174  1.5044907e-06  0.00059821298   1.332975e-06  0.00074869217  1.9551458e-06
             50  0.00051305334  1.3221494e-06  0.00046356413  1.1911882e-06  0.00059143781  1.7517177e-06
             55  0.00040345459  1.1693267e-06  0.00036353289  1.0368993e-06  0.00046945711  1.5047245e-06
             60  0.00032554669   1.046753e-06  0.00029251105  9.6136274e-07  0.00038099057  1.4108398e-06
             65  0.00026002242  9.3230178e-07  0.00023296165  8.1735344e-07  0.00030526641  1.1738919e-06
             70  0.00020997473  8.3547899e-07   0.0001878553  7.3312155e-07  0.00024589664  1.0450428e-06
             75  0.00017228257  7.5636518e-07  0.00015437008   6.732974e-07   0.0002005775  9.6209177e-07
             80  0.00014068895  6.8234183e-07  0.00012574096  5.9828387e-07  0.00016361192  8.4348836e-07
             85  0.00011636803  6.2041577e-07  0.00010419364  5.4673677e-07  0.00013428951   7.669814e-07
             90  9.7130791e-05  5.6569887e-07  8.6859729e-05  4.9718755e-07  0.00011180327  6.9221984e-07
             95   8.071057e-05  5.1571249e-07   7.231798e-05  4.5547353e-07  9.2296506e-05   6.332734e-07
            100  6.8909625e-05  4.7420179e-07  6.1636115e-05  4.1925399e-07  7.8728109e-05  5.7597829e-07
            105  5.7510733e-05  4.3454247e-07  5.1580318e-05  3.8347705e-07   6.523434e-05  5.2676845e-07
            110  4.9025893e-05  3.9925809e-07  4.3911765e-05  3.5444425e-07  5.5547835e-05  4.8605762e-07
            115  4.2095671e-05   3.701748e-07  3.7685347e-05  3.2711557e-07   4.763306e-05   4.441034e-07
            120  3.5262689e-05  3.3862959e-07  3.1580997e-05  3.0185763e-07  3.9786282e-05  4.1109689e-07
            125  3.0573248e-05  3.1497579e-07  2.7404052e-05  2.8259469e-07  3.4409825e-05  3.8400309e-07
            130  2.6395216e-05  2.9262602e-07  2.3590026e-05  2.5799516e-07  2.9773511e-05  3.4899588e-07
            135  2.2774282e-05  2.7244803e-07  2.0399366e-05  2.4008082e-07  2.5564589e-05  3.2637992e-07
            140  2.0087736e-05  2.5530322e-07  1.8039788e-05  2.2683421e-07  2.2462127e-05   3.082705e-07
            145  1.7138925e-05  2.3639668e-07  1.5492284e-05  2.1802545e-07  1.8943055e-05  3.0273394e-07
            150  1.4764913e-05  2.1954974e-07  1.3317066e-05  1.9887073e-07  1.6367844e-05  2.7265801e-07
            155  1.2968065e-05  2.0476982e-07  1.1621136e-05   1.815473e-07  1.4497371e-05  2.4347492e-07
            160  1.1067577e-05   1.900959e-07   1.008372e-05  2.2405751e-07  1.2079327e-05  3.6276997e-07
            165  1.0086936e-05  1.8027848e-07  9.0446163e-06  1.5925624e-07  1.1259763e-05  2.1277558e-07
            170  8.8435944e-06  1.6813703e-07  7.9563309e-06  1.5122707e-07  9.8261987e-06  2.0305149e-07
            175  7.7649551e-06  1.5828669e-07  7.0001475e-06  1.4164995e-07  8.5868517e-06  1.8896128e-07
            180  7.0997425e-06   1.507016e-07  6.3551593e-06  1.3345634e-07  7.9382679e-06  1.7651099e-07
            185  6.1997297e-06  1.4083335e-07     5.5373e-06  1.2426782e-07  6.9495055e-06  1.6504194e-07
            190  5.3287279e-06  1.3108233e-07   4.785418e-06   1.162719e-07  5.9247666e-06  1.5726452e-07
            195  4.8521739e-06  1.2514402e-07  4.3481965e-06   1.106983e-07  5.4079407e-06  1.4725307e-07
            200  4.8521739e-06  1.2514402e-07  4.3481965e-06   1.106983e-07  5.4079407e-06  1.4725307e-07
