#   fidaaBR-ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0027895127   5.526407e-06   0.0023806409  6.0161837e-06   0.0030102057  2.0903083e-05
              5   0.0039627408  5.0196434e-06   0.0035549431  5.5634552e-06   0.0040599731  6.0461609e-06
             10   0.0032055288   3.903811e-06   0.0029630872  3.3836632e-06    0.003291254  4.7990514e-06
             15   0.0023856168  3.1476904e-06   0.0022175376  2.7800552e-06   0.0024652574  3.6911686e-06
             20   0.0017590907  2.6049496e-06   0.0016544091   2.353035e-06   0.0018361672  3.4266106e-06
             25    0.001294825  2.1870285e-06   0.0012201427  1.9703494e-06   0.0013686334  2.7716893e-06
             30  0.00095672411  1.8529224e-06  0.00089150181  1.6706723e-06   0.0010228268  2.3314638e-06
             35  0.00071320062  1.5841602e-06  0.00065715621  1.4161498e-06  0.00077281245  2.0479627e-06
             40  0.00053929905  1.3666393e-06  0.00049349138  1.3760531e-06  0.00059658868  2.0504189e-06
             45  0.00041162076  1.1868845e-06  0.00037396812  1.0561045e-06  0.00046449579  1.5388266e-06
             50  0.00031810175  1.0399443e-06  0.00028764864   9.397983e-07   0.0003644104  1.3706534e-06
             55  0.00024719449  9.1358973e-07  0.00022280278  8.0502023e-07  0.00028615166   1.157178e-06
             60   0.0001976244  8.1404241e-07  0.00017789685  7.6539825e-07   0.0002296321  1.1238594e-06
             65  0.00015772712  7.2440289e-07  0.00014157151  6.3770166e-07  0.00018396341  9.0802763e-07
             70  0.00012701677  6.4901631e-07  0.00011382149  5.7071382e-07  0.00014785413  8.0802032e-07
             75  0.00010419288   5.859189e-07  9.3349556e-05  5.1767492e-07  0.00012088135  7.3005831e-07
             80   8.466472e-05   5.278254e-07   7.569318e-05  4.6351331e-07  9.8112294e-05  6.4897224e-07
             85  6.9232206e-05  4.7743956e-07  6.2053442e-05  4.2236764e-07  7.9579976e-05  5.8921051e-07
             90  5.6591903e-05  4.3101657e-07  5.0726726e-05  3.7990344e-07  6.4758902e-05  5.2416316e-07
             95  4.6583677e-05  3.9085037e-07  4.1717518e-05  3.4458759e-07  5.3198898e-05  4.7595289e-07
            100  3.9419206e-05   3.583304e-07  3.5292837e-05  3.1641401e-07  4.4897776e-05  4.3215095e-07
            105  3.2775578e-05  3.2734682e-07   2.940904e-05  2.8982556e-07  3.7058809e-05  3.9520895e-07
            110  2.8021031e-05  3.0139412e-07  2.5126271e-05  2.6887042e-07  3.1643406e-05  3.6784941e-07
            115  2.3987241e-05  2.7882987e-07  2.1464061e-05  2.4649486e-07     2.7121e-05  3.3334821e-07
            120  2.0662756e-05  2.5889442e-07  1.8480008e-05  2.2860081e-07  2.3332999e-05  3.0931734e-07
            125  1.7725913e-05  2.3962625e-07  1.5869978e-05  2.1140978e-07  1.9945534e-05  2.8352246e-07
            130  1.5450967e-05  2.2393118e-07  1.3840121e-05  1.9740632e-07  1.7339882e-05  2.6545422e-07
            135  1.3515535e-05  2.0987167e-07    1.21337e-05  1.8499178e-07  1.5110868e-05  2.5161285e-07
            140  1.2114364e-05  1.9695774e-07  1.0861808e-05  1.7509551e-07   1.356416e-05  2.3430124e-07
            145  1.0513884e-05  1.8457031e-07  9.5526124e-06  1.7505031e-07   1.152205e-05   2.450637e-07
            150  8.9680043e-06  1.7111064e-07  8.1402101e-06  1.5734929e-07  9.8337143e-06  2.1701644e-07
            155  7.9849849e-06   1.599458e-07  7.1445678e-06  1.4203196e-07   8.942189e-06  1.9065145e-07
            160   6.970108e-06  1.5066198e-07  6.2561816e-06  1.3305892e-07  7.7838442e-06  1.7921347e-07
            165  6.3728141e-06  1.4291963e-07  5.7280785e-06  1.2643412e-07  7.0782469e-06  1.6870639e-07
            170  5.6698463e-06  1.3453177e-07  5.1006935e-06  1.2140896e-07  6.3042476e-06  1.6318054e-07
            175  4.9199513e-06  1.2643986e-07  4.4585429e-06  1.1377308e-07   5.387623e-06  1.5029578e-07
            180  4.5671956e-06  1.2075175e-07  4.0833974e-06  1.0683578e-07  5.1117992e-06  1.4111686e-07
            185   4.082188e-06  1.1458675e-07  3.6569323e-06  1.0107446e-07   4.546313e-06  1.3480106e-07
            190   3.597527e-06  1.0729458e-07  3.2202503e-06  9.5176449e-08  4.0197497e-06  1.2626665e-07
            195  3.1980362e-06  1.0131976e-07  2.8734296e-06   8.998507e-08  3.5502445e-06  1.1917487e-07
            200  3.1980362e-06  1.0131976e-07  2.8734296e-06   8.998507e-08  3.5502445e-06  1.1917487e-07
