#       fid-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15              0              0              0              0              0              0
             20              0              0              0              0              0              0
             25     0.28515352  0.00067344261     0.26574527  0.00060458328     0.30562761  0.00083292385
             30     0.20965366  0.00057018755     0.19284695  0.00050718348     0.22804907  0.00072934104
             35     0.15641192  0.00048827879      0.1426232  0.00043318831     0.17406154  0.00062894275
             40     0.11901941  0.00042288494     0.10767853  0.00037359013     0.13556446   0.0005409214
             45    0.092151291  0.00037067014    0.082975836  0.00033457732     0.10670358  0.00050364457
             50    0.070851196    0.000323129    0.063465283  0.00028324351    0.083253363  0.00041113869
             55    0.056540409  0.00028759294    0.050511901   0.0002525943    0.066863957  0.00036422196
             60    0.045288525  0.00025658081    0.040369141  0.00022503736    0.053743378  0.00032368518
             65    0.036126398  0.00022873959     0.03218428  0.00020090293    0.042778718  0.00028647699
             70    0.029479538   0.0002060576    0.026263848  0.00018123817    0.034786991   0.0002571836
             75    0.024346911  0.00018711098    0.021670015   0.0001639943    0.028575835  0.00023504554
             80    0.020105135  0.00016959502    0.017891895  0.00014893027    0.023516421  0.00020798639
             85    0.016649092  0.00015469133    0.014827999  0.00013576293    0.019369468  0.00018943648
             90    0.013985448  0.00014140168     0.01244932  0.00012419908    0.016223313  0.00017234672
             95    0.011604031  0.00012882622     0.01036305  0.00011392762    0.013342984  0.00015745067
            100   0.0098532184  0.00011859023   0.0087743411  0.00010400428    0.011326722  0.00014316463
            105   0.0083548128  0.00010909216   0.0074306614  9.5551703e-05   0.0095917658  0.00013086727
            110   0.0071508676  0.00010079131   0.0063646062  8.8528844e-05   0.0081805183  0.00012157778
            115   0.0061556153  9.3449405e-05   0.0054906731   8.217941e-05   0.0070066642  0.00011179732
            120   0.0053782534  8.7169012e-05   0.0048199583  8.1516132e-05   0.0060658742   0.0001137857
            125   0.0045403864  8.0175978e-05   0.0040524577  7.0593126e-05   0.0051457125   9.564259e-05
            130   0.0039010418  7.4423074e-05   0.0034880944  6.5746878e-05   0.0044043587  8.9528818e-05
            135   0.0035330579  7.0846479e-05    0.003155785  6.2602297e-05   0.0039935002  8.4395516e-05
            140   0.0031038142  6.6040453e-05   0.0027638196  5.8287361e-05   0.0035180845  7.7941453e-05
            145   0.0027243894  6.2013793e-05   0.0024237341   5.454007e-05   0.0030871257  7.2772199e-05
            150   0.0023673285  5.7578831e-05   0.0021188829  5.0904651e-05   0.0026527811  6.7789864e-05
            155    0.002097526  5.4376179e-05   0.0018836408  4.8609054e-05   0.0023414358  6.4456345e-05
            160   0.0019125741  5.1890889e-05   0.0017181398  4.6029323e-05   0.0021312609  6.0539538e-05
            165   0.0016350158   4.744508e-05   0.0014529772  4.2044085e-05   0.0018495538  5.4649072e-05
            170   0.0014442502  4.4969288e-05   0.0012870834  3.9769637e-05   0.0016280152  5.2621461e-05
            175   0.0012737801  4.2370645e-05   0.0011444994  3.7845263e-05    0.001418655  4.9465476e-05
            180   0.0011817606  4.0740539e-05   0.0010628197  3.6375368e-05   0.0013113457  4.7510172e-05
            185   0.0010358756  3.8342447e-05  0.00092914021  3.3824601e-05   0.0011533926  4.5581848e-05
            190   0.0009357728  3.6029926e-05  0.00083659988  3.1980581e-05   0.0010471946  4.1674699e-05
            195  0.00081395477  3.3988448e-05  0.00073644294   3.098608e-05  0.00089273722  4.1382889e-05
            200  0.00081395477  3.3988448e-05  0.00073644294   3.098608e-05  0.00089273722  4.1382889e-05
