#       inc-ptc        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.3786008   0.0038028705      3.9137547    0.004202121        4.52165     0.01232886
              5      3.1439764   0.0026522409      2.9349721    0.002263357      3.2308045   0.0032452535
             10        1.79258    0.001831194      1.6749152   0.0016255557      1.8685452    0.002547749
             15      1.1483551   0.0014049924      1.0802632   0.0012721262      1.2158159   0.0018957519
             20     0.78475205   0.0011325033     0.73403014   0.0010405328     0.84064463   0.0014707631
             25     0.55618388  0.00093811196     0.51477788  0.00083760463     0.60213761   0.0011686609
             30     0.40182113  0.00078885088      0.3676387  0.00069798574     0.44354412   0.0010236101
             35     0.29680283  0.00067312862      0.2692396   0.0005950469     0.33505242  0.00087568413
             40     0.22394968   0.0005811095     0.20166506  0.00051032119     0.25834483  0.00074842919
             45     0.17199397  0.00050765197      0.1542554  0.00045507579     0.20138766  0.00068656309
             50     0.13254779  0.00044338363     0.11830338  0.00038760532     0.15722963   0.0005710217
             55      0.1050983  0.00039360434    0.093569653  0.00034346448     0.12538633  0.00050211228
             60    0.084012108  0.00035087751    0.074741453   0.0003090877     0.10030802  0.00045105093
             65    0.067033372  0.00031275314    0.059524802  0.00027293092    0.080075152  0.00039417768
             70    0.054787905  0.00028215174    0.048681754  0.00024745997    0.065082645  0.00035612049
             75    0.045191863   0.0002558117    0.040095011  0.00022322515    0.053439462  0.00032140717
             80    0.036926874  0.00023067962    0.032778272  0.00020209611    0.043446502  0.00028577874
             85    0.030607782  0.00021055584     0.02719374  0.00018391266    0.035803771  0.00025914078
             90    0.025620627  0.00019206941    0.022743145  0.00016846582    0.029887535  0.00023679959
             95    0.021248281  0.00017520239    0.018943097  0.00015446866    0.024546444  0.00021605607
            100    0.018284511  0.00016214331     0.01625839  0.00014218483    0.021102739  0.00019774823
            105    0.015390885  0.00014859507    0.013666383  0.00012977956    0.017738104  0.00017968987
            110    0.013059965  0.00013630446    0.011603277  0.00011994182    0.015002071  0.00016608767
            115    0.011106102  0.00012581549   0.0098853626  0.00011069357    0.012699609  0.00015179593
            120   0.0098369684  0.00011825737   0.0087760347  0.00010853445    0.011195632  0.00015131868
            125   0.0083651429  0.00010926209   0.0074443052   9.587335e-05   0.0095369275  0.00013099805
            130   0.0071019687  0.00010082099   0.0063434297  8.8684661e-05   0.0080435627  0.00012187207
            135   0.0061391092  9.3504446e-05   0.0054631156  8.2233324e-05   0.0069824151  0.00011149029
            140   0.0054169309  8.7422027e-05   0.0048069448  7.6779263e-05   0.0061732324  0.00010355075
            145   0.0046567563  8.1287256e-05   0.0041574815  7.1915038e-05   0.0052560692  9.6209953e-05
            150   0.0040387923  7.5686611e-05     0.00360663  6.6635634e-05   0.0045496941  8.9513198e-05
            155   0.0035202426  7.0742339e-05   0.0031536407   6.271357e-05   0.0039479968  8.4875746e-05
            160   0.0031485413  6.6854769e-05   0.0028166728  5.9004548e-05   0.0035359235  7.8741963e-05
            165   0.0027288393   6.172498e-05   0.0024250724  5.4527745e-05   0.0030924137  7.2010707e-05
            170   0.0024232069    5.83758e-05   0.0021541502  5.1585096e-05   0.0027436337  6.8816707e-05
            175   0.0020971527  5.4501036e-05   0.0018807369  4.8534816e-05   0.0023486373  6.5023569e-05
            180   0.0019511204  5.2415244e-05   0.0017518109  4.6734875e-05   0.0021745833  6.1425633e-05
            185    0.001684856  4.8975251e-05   0.0015125406  4.3486394e-05   0.0018761468  5.8330004e-05
            190   0.0015537015  4.6623152e-05   0.0013884886  4.1304989e-05   0.0017404088  5.5183184e-05
            195   0.0013183307  4.3328186e-05   0.0011846792  3.8865854e-05   0.0014639224  5.2188025e-05
            200   0.0013183307  4.3328186e-05   0.0011846792  3.8865854e-05   0.0014639224  5.2188025e-05
