#      fidaa-yH        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3              0              0              0              0              0              0
           -2.6     0.64049469   0.0044312078     0.60879019   0.0038637249      0.6646859   0.0094536755
           -2.2      3.6069653    0.010519858      3.4262884   0.0091402095       3.762329    0.025815341
           -1.8      7.4911413    0.015113208      7.1107229    0.013161523       7.815341    0.034874418
           -1.4      10.394851    0.017640474      9.8513687    0.015340645      10.812323    0.042003755
             -1      12.152525     0.01896659      11.503327    0.016434982        12.6803    0.041103155
           -0.6      13.225943     0.01977051      12.522628     0.01718674      13.835333    0.040526786
           -0.2      13.668354    0.020068246      12.932095    0.017382755      14.274799    0.042142946
            0.2      13.240584    0.019830595        12.5353    0.017188545       13.81712    0.046745997
            0.6      12.121101    0.019084173      11.486312    0.016643058      12.668669    0.040957925
              1      10.398107    0.017810636      9.8506292     0.01574717      10.831444     0.04048829
            1.4      7.5016866    0.015346358      7.1238055    0.013285845       7.843072    0.036238086
            1.8      3.5817758    0.010684514      3.4074229   0.0092381394      3.7334543    0.024593278
            2.2     0.62279886   0.0044846807     0.59311222   0.0038667192     0.62946507    0.016480358
            2.6              0              0              0              0              0              0
              3              0              0              0              0              0              0
